"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",40,159422.392149909
"2","2007","MPA",144,746354.585311583
"3","2008","Fished",24,105210.618443795
"4","2008","MPA",120,588344.801583282
"5","2009","Fished",16,61821.3568532753
"6","2009","MPA",24,97073.8707659517
"7","2010","Fished",60,146295.982455707
"8","2010","MPA",88,279852.057898479
"9","2011","Fished",136,335051.185043648
"10","2011","MPA",176,514328.437818186
"11","2012","Fished",264,933634.117494182
"12","2012","MPA",332,1394234.83466638
"13","2013","Fished",212,685766.475401375
"14","2013","MPA",228,965204.094776909
