Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent,Site
2014,May,35,0,0,0,0,0,Spanish anchor
2014,May,40,0,0,0,0,0,Spanish anchor
2014,May,40,0,0,0,0,0,Spanish anchor
2014,May,16,0,0,0,0,0,Playa Forti 
2014,May,20,0,0,0,0,0,Playa Forti 
2014,May,20,0,0,0,0,0,Bullenbaai (buis/klim)
2014,May,22,0,0,0,0,0,Bullenbaai (buis/klim)
2014,May,23,0,0,0,0,0,Bullenbaai (buis/klim)
2014,May,25,0,0,0,0,0,Bullenbaai (buis/klim)
2014,May,25,0,0,0,0,0,Bullenbaai (buis/klim)
2014,May,25,0,0,0,0,0,Bullenbaai (buis/klim)
2014,May,30,0,0,0,0,0,Bullenbaai (buis/klim)
2014,May,30,0,0,0,0,0,Bullenbaai (buis/klim)
2014,April,35,0,0,0,0,0,Caracasbaai
2014,April,40,0,0,0,0,0,Caracasbaai
2014,April,35,0,0,0,0,0,Carmabi
2014,April,35,0,0,0,0,0,Carmabi
2014,April,34,0,0,0,0,0,Pierbaai/Marie Pampoen
2014,April,40,0,0,0,0,0,Pierbaai/Marie Pampoen
2014,April,35,0,0,0,0,0,Vaersenbaai
2014,April,27,0,0,0,0,0,Habitat House Reef
2014,April,27,0,0,0,0,0,Habitat House Reef
2014,April,20,0,0,0,0,0,Porto mari
2014,April,20,0,0,0,0,0,Porto mari
2014,April,40,0,0,0,0,0,Porto mari
2014,April,21,0,0,0,0,0,Playa Jeremy
2014,April,35,0,0,0,0,0,Playa Jeremy
2014,April,18,0,0,0,0,0,Kleine Knip
2014,April,20,0,0,0,0,0,Kleine Knip
2014,April,22,0,0,0,0,0,Kleine Knip
2014,April,27,0,0,0,0,0,Kleine Knip
2014,April,34,0,0,0,0,0,Kleine Knip
2014,April,34,0,0,0,0,0,Kleine Knip
2014,April,35,0,0,0,0,0,Kleine Knip
2014,April,36,0,0,0,0,0,Kleine Knip
2014,April,40,0,0,0,0,0,Kleine Knip
2014,April,49,0,0,0,0,0,Kleine Knip
2014,April,26,0,0,0,0,0,Playa Piscado
2014,April,30,0,0,0,0,0,Playa Piscado
2014,April,35,0,0,0,0,0,Playa Piscado
2014,March,32,0,0,0,0,0,Boka Sami
2014,March,46,0,0,0,0,0,Boka Sami
2014,March,20,0,0,0,0,0,Playa Kalki
2014,March,31,0,0,0,0,0,Playa Kalki
2014,March,35,0,0,0,0,0,Playa Kalki
2014,March,35,0,0,0,0,0,Playa Kalki
2014,March,35,0,0,0,0,0,Playa Kalki
2014,March,22,0,0,0,0,0,Tarpon city
2014,March,15,0,0,0,0,0,Tarpon city
2014,March,17,0,0,0,0,0,Tarpon city
2014,March,17,0,0,0,0,0,Tarpon city
2014,March,19,0,0,0,0,0,Tarpon city
2014,March,21,0,0,0,0,0,Tarpon city
2014,March,22,0,0,0,0,0,Tarpon city
2014,March,23,0,0,0,0,0,Tarpon city
2013,May,37,0,0,0,0,0,Vaersenbaai
2013,May,45,0,0,0,0,0,Vaersenbaai
2008,July,15,0,0,0,0,0,Westpunt
2008,July,30,0,0,0,0,0,Westpunt
2008,June,45,0,0,0,0,0,Santa Marta
2008,June,40,0,0,0,0,0,Santa Marta
2008,June,25,0,0,0,0,0,Westpunt
2008,June,40,0,0,0,0,0,Westpunt
2008,August,15,0,0,0,0,0,Lagun
2008,July,35,0,0,0,0,0,Santa Marta
2008,July,40,0,0,0,0,0,Santa Marta
2008,July,50,0,0,0,0,0,Santa Marta
2008,July,40,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,45,0,0,0,0,0,Santa Marta
2008,June,45,0,0,0,0,0,Santa Marta
2008,June,50,0,0,0,0,0,Santa Marta
2008,June,35,0,0,0,0,0,Santa Marta
2008,June,40,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,35,0,0,0,0,0,Lagun
2008,June,25,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,25,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Westpunt
2008,June,45,0,0,0,0,0,Westpunt
2008,June,35,0,0,0,0,0,Westpunt
2008,May,30,0,0,0,0,0,Lagun
2008,May,25,0,0,0,0,0,Westpunt
2015,June,36,0,0,0,0,1,Boca Sami
2015,June,10,0,0,0,0,1,Playa Piskado
2015,June,19,0,0,0,0,1,Boca Sami
2015,June,20,0,0,0,0,1,Boca Sami
2015,June,21.5,0,0,0,0,1,Boca Sami
2015,June,23.5,0,0,0,0,1,Boca Sami
2015,June,22,0,0,0,0,1,Boca Sami
2015,June,24.5,0,0,0,0,1,Boca Sami
2015,June,25,0,0,0,0,1,Boca Sami
2015,June,29,0,0,0,0,1,Boca Sami
2015,June,44,0,0,0,0,1,Piskado
2015,June,58,0,0,0,0,1,Piskado
2015,June,30,0,0,0,0,1,Boca Sami
2015,June,28.5,0,0,0,0,1,Boca Sami
2015,June,19,0,0,0,0,1,Boca Sami
2015,June,20,0,0,0,0,1,Boca Sami
2015,June,18.5,0,0,0,0,1,Boca Sami
2015,June,16,0,0,0,0,1,Boca Sami
2015,June,19,0,0,0,0,1,Boca Sami
2008,July,30,0,0,0,0,0,Westpunt
2008,June,45,0,0,0,0,0,Santa Marta
