Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent,Site
2014,April,21,0,0,0,0,0,Playa Lagun
2014,April,24,0,0,0,0,0,Playa Lagun
2014,April,17,0,0,0,0,0,Grote knip
2014,April,17,0,0,0,0,0,Grote knip
2014,April,21,0,0,0,0,0,Grote knip
2014,April,22,0,0,0,0,0,Grote knip
2014,April,23,0,0,0,0,0,Grote knip
2014,April,23,0,0,0,0,0,Grote knip
2014,May,18,0,0,0,0,0,Spanish anchor
2014,May,20,0,0,0,0,0,Spanish anchor
2014,May,25,0,0,0,0,0,Seldom reef
2015,June,20,0,0,0,0,1,Piskado
2015,June,22,0,0,0,0,1,Piskado
2015,June,18.5,0,0,0,0,1,Boca Sami
2015,June,23,0,0,0,0,1,Boca Sami
2015,June,19.5,0,0,0,0,1,Boca Sami
2015,June,19.5,0,0,0,0,1,Boca Sami
2015,June,18.5,0,0,0,0,1,Boca Sami
2015,June,16.5,0,0,0,0,1,Boca Sami
2015,June,20.5,0,0,0,0,1,Boca Sami
2015,June,15,0,0,0,0,1,Santa Cruz
2008,August,30,0,0,0,0,0,Santa Marta
