Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent,Site
2008,5,40,0,0,0,0,0,Santa Marta
2008,5,35,0,0,0,0,0,Santa Marta
2008,5,40,0,0,0,0,0,Santa Marta
2008,6,10,0,0,0,0,0,Santa Marta
2008,6,20,0,0,0,0,0,Santa Marta
2008,6,35,0,0,0,0,0,Santa Marta
2008,6,25,0,0,0,0,0,Santa Marta
2008,6,30,0,0,0,0,0,Santa Marta
2008,6,20,0,0,0,0,0,Santa Marta
2008,6,20,0,0,0,0,0,Santa Marta
2008,6,10,0,0,0,0,0,Santa Marta
2008,6,20,0,0,0,0,0,Santa Marta
2008,6,15,0,0,0,0,0,Santa Marta
2008,6,10,0,0,0,0,0,Santa Marta
2008,6,35,0,0,0,0,0,Santa Marta
2008,6,30,0,0,0,0,0,Santa Marta
2008,6,25,0,0,0,0,0,Santa Marta
2008,6,10,0,0,0,0,0,Santa Marta
2008,6,25,0,0,0,0,0,Santa Marta
2008,6,20,0,0,0,0,0,Santa Marta
2008,6,15,0,0,0,0,0,Santa Marta
2008,6,15,0,0,0,0,0,Santa Marta
2008,6,10,0,0,0,0,0,Santa Marta
2008,7,35,0,0,0,0,0,Santa Marta
2008,7,20,0,0,0,0,0,Santa Marta
2008,7,30,0,0,0,0,0,Santa Marta
2008,8,25,0,0,0,0,0,Santa Marta
2008,8,30,0,0,0,0,0,Santa Marta
2008,8,25,0,0,0,0,0,Santa Marta
2008,8,20,0,0,0,0,0,Santa Marta
2008,8,15,0,0,0,0,0,Santa Marta
2008,8,25,0,0,0,0,0,Santa Marta
2008,5,25,0,0,0,0,0,Lagun
2008,5,30,0,0,0,0,0,Lagun
2008,5,25,0,0,0,0,0,Lagun
2008,6,20,0,0,0,0,0,Lagun
2008,6,15,0,0,0,0,0,Lagun
2008,6,30,0,0,0,0,0,Lagun
2008,6,15,0,0,0,0,0,Lagun
2008,6,40,0,0,0,0,0,Lagun
2008,6,20,0,0,0,0,0,Lagun
2008,6,10,0,0,0,0,0,Lagun
2008,6,20,0,0,0,0,0,Lagun
2008,6,30,0,0,0,0,0,Lagun
2008,6,20,0,0,0,0,0,Lagun
2008,6,25,0,0,0,0,0,Lagun
2008,6,10,0,0,0,0,0,Lagun
2008,6,30,0,0,0,0,0,Lagun
2008,6,20,0,0,0,0,0,Lagun
2008,6,30,0,0,0,0,0,Lagun
2008,6,20,0,0,0,0,0,Lagun
2008,6,10,0,0,0,0,0,Lagun
2008,6,30,0,0,0,0,0,Lagun
2008,6,20,0,0,0,0,0,Lagun
2008,6,10,0,0,0,0,0,Lagun
2008,6,40,0,0,0,0,0,Lagun
2008,6,35,0,0,0,0,0,Lagun
2008,6,25,0,0,0,0,0,Lagun
2008,6,30,0,0,0,0,0,Lagun
2008,6,15,0,0,0,0,0,Lagun
2008,7,20,0,0,0,0,0,Lagun
2008,8,40,0,0,0,0,0,Lagun
2008,8,20,0,0,0,0,0,Lagun
2008,5,25,0,0,0,0,0,Westpunt
2008,5,20,0,0,0,0,0,Westpunt
2008,5,15,0,0,0,0,0,Westpunt
2008,6,20,0,0,0,0,0,Westpunt
2008,6,25,0,0,0,0,0,Westpunt
2008,6,5,0,0,0,0,0,Westpunt
2008,6,20,0,0,0,0,0,Westpunt
2008,6,25,0,0,0,0,0,Westpunt
2008,6,20,0,0,0,0,0,Westpunt
2008,6,20,0,0,0,0,0,Westpunt
2008,6,25,0,0,0,0,0,Westpunt
2008,6,15,0,0,0,0,0,Westpunt
2008,6,30,0,0,0,0,0,Westpunt
2008,7,20,0,0,0,0,0,Westpunt
2008,7,20,0,0,0,0,0,Westpunt
2008,8,20,0,0,0,0,0,Westpunt
2008,8,20,0,0,0,0,0,Westpunt
2008,6,20,0,0,0,0,0,Santa Marta
2008,6,30,0,0,0,0,0,Santa Marta
2008,6,20,0,0,0,0,0,Santa Marta
2008,6,15,0,0,0,0,0,Santa Marta
2008,6,15,0,0,0,0,0,Santa Marta
2008,6,20,0,0,0,0,0,Santa Marta
2008,6,20,0,0,0,0,0,Santa Marta
2008,6,15,0,0,0,0,0,Santa Marta
2008,8,20,0,0,0,0,0,Santa Marta
2008,8,20,0,0,0,0,0,Santa Marta
