Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent,Site
2008,May,30,0,0,0,0,0,Westpunt
2008,May,20,0,0,0,0,0,Westpunt
2008,May,10,0,0,0,0,0,Westpunt
2008,May,20,0,0,0,0,0,Westpunt
2008,May,30,0,0,0,0,0,Westpunt
2008,May,25,0,0,0,0,0,Westpunt
2008,May,30,0,0,0,0,0,Westpunt
2008,May,40,0,0,0,0,0,Santa Marta
2008,May,35,0,0,0,0,0,Santa Marta
2008,May,30,0,0,0,0,0,Santa Marta
2008,May,25,0,0,0,0,0,Santa Marta
2008,May,30,0,0,0,0,0,Santa Marta
2008,May,30,0,0,0,0,0,Santa Marta
2008,May,20,0,0,0,0,0,Lagun
2008,May,30,0,0,0,0,0,Lagun
2008,May,20,0,0,0,0,0,Lagun
2008,May,5,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,5,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,5,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,5,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,25,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,10,0,0,0,0,0,Lagun
2008,June,25,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,5,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,25,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,July,25,0,0,0,0,0,Westpunt
2008,July,20,0,0,0,0,0,Westpunt
2008,July,10,0,0,0,0,0,Westpunt
2008,July,30,0,0,0,0,0,Westpunt
2008,July,35,0,0,0,0,0,Santa Marta
2008,July,20,0,0,0,0,0,Santa Marta
2008,July,35,0,0,0,0,0,Santa Marta
2008,July,25,0,0,0,0,0,Santa Marta
2008,July,30,0,0,0,0,0,Santa Marta
2008,July,20,0,0,0,0,0,Santa Marta
2008,July,30,0,0,0,0,0,Lagun
2008,July,20,0,0,0,0,0,Lagun
2008,August,15,0,0,0,0,0,Westpunt
2008,August,15,0,0,0,0,0,Westpunt
2008,August,30,0,0,0,0,0,Santa Marta
2008,August,15,0,0,0,0,0,Santa Marta
2008,August,15,0,0,0,0,0,Santa Marta
2008,August,30,0,0,0,0,0,Santa Marta
2008,August,30,0,0,0,0,0,Lagun
2008,August,20,0,0,0,0,0,Lagun
2008,August,30,0,0,0,0,0,Lagun
2008,August,30,0,0,0,0,0,Lagun
2008,August,20,0,0,0,0,0,Lagun
2008,May,25,0,0,0,0,0,Westpunt
2008,May,15,0,0,0,0,0,Westpunt
2008,May,20,0,0,0,0,0,Santa Marta
2008,May,15,0,0,0,0,0,Santa Marta
2008,May,30,0,0,0,0,0,Santa Marta
2008,May,20,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,5,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,5,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,5,0,0,0,0,0,Lagun
2008,July,30,0,0,0,0,0,Westpunt
2008,July,20,0,0,0,0,0,Westpunt
2008,July,15,0,0,0,0,0,Westpunt
2008,July,10,0,0,0,0,0,Santa Marta
2008,July,30,0,0,0,0,0,Santa Marta
2008,July,30,0,0,0,0,0,Lagun
2008,August,20,0,0,0,0,0,Westpunt
2008,August,25,0,0,0,0,0,Westpunt
2008,August,30,0,0,0,0,0,Westpunt
2008,August,20,0,0,0,0,0,Westpunt
2008,August,10,0,0,0,0,0,Santa Marta
2008,August,10,0,0,0,0,0,Santa Marta
2008,August,15,0,0,0,0,0,Santa Marta
2008,August,10,0,0,0,0,0,Santa Marta
2008,August,25,0,0,0,0,0,Lagun
2008,August,20,0,0,0,0,0,Lagun
2008,August,10,0,0,0,0,0,Lagun
2008,August,15,0,0,0,0,0,Lagun
2008,August,5,0,0,0,0,0,Lagun
2008,August,25,0,0,0,0,0,Lagun
2008,May,25,0,0,0,0,0,Westpunt
2008,May,15,0,0,0,0,0,Westpunt
2008,May,20,0,0,0,0,0,Santa Marta
2008,May,15,0,0,0,0,0,Santa Marta
2008,May,30,0,0,0,0,0,Santa Marta
2008,May,20,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,5,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,5,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,30,0,0,0,0,0,Lagun
2008,June,5,0,0,0,0,0,Lagun
2008,July,30,0,0,0,0,0,Westpunt
2008,July,20,0,0,0,0,0,Westpunt
2008,July,15,0,0,0,0,0,Westpunt
2008,July,10,0,0,0,0,0,Santa Marta
2008,July,30,0,0,0,0,0,Santa Marta
2008,July,30,0,0,0,0,0,Lagun
2008,August,20,0,0,0,0,0,Westpunt
2008,August,25,0,0,0,0,0,Westpunt
2008,August,30,0,0,0,0,0,Westpunt
2008,August,20,0,0,0,0,0,Westpunt
2008,August,10,0,0,0,0,0,Santa Marta
2008,August,10,0,0,0,0,0,Santa Marta
2008,August,15,0,0,0,0,0,Santa Marta
2008,August,10,0,0,0,0,0,Santa Marta
2008,August,25,0,0,0,0,0,Lagun
2008,August,20,0,0,0,0,0,Lagun
2008,August,10,0,0,0,0,0,Lagun
2008,August,15,0,0,0,0,0,Lagun
2008,August,5,0,0,0,0,0,Lagun
2008,August,25,0,0,0,0,0,Lagun
2008,May,10,0,0,0,0,0,Westpunt
2008,May,15,0,0,0,0,0,Lagun
2008,May,10,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,10,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,July,5,0,0,0,0,0,Westpunt
2008,July,25,0,0,0,0,0,Santa Marta
2008,July,30,0,0,0,0,0,Santa Marta
2008,July,25,0,0,0,0,0,Lagun
2008,July,15,0,0,0,0,0,Lagun
2008,July,30,0,0,0,0,0,Lagun
2008,July,5,0,0,0,0,0,Lagun
2008,August,10,0,0,0,0,0,Westpunt
2008,August,30,0,0,0,0,0,Westpunt
2008,May,10,0,0,0,0,0,Westpunt
2008,May,15,0,0,0,0,0,Lagun
2008,May,10,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,10,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,July,5,0,0,0,0,0,Westpunt
2008,July,25,0,0,0,0,0,Santa Marta
2008,July,30,0,0,0,0,0,Santa Marta
2008,July,25,0,0,0,0,0,Lagun
2008,July,15,0,0,0,0,0,Lagun
2008,July,30,0,0,0,0,0,Lagun
2008,July,5,0,0,0,0,0,Lagun
2008,August,10,0,0,0,0,0,Westpunt
2008,August,30,0,0,0,0,0,Westpunt
2008,May,10,0,0,0,0,0,Westpunt
2008,May,15,0,0,0,0,0,Lagun
2008,May,10,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,10,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,June,15,0,0,0,0,0,Lagun
2008,July,5,0,0,0,0,0,Westpunt
2008,July,25,0,0,0,0,0,Santa Marta
2008,July,30,0,0,0,0,0,Santa Marta
2008,July,25,0,0,0,0,0,Lagun
2008,July,15,0,0,0,0,0,Lagun
2008,July,30,0,0,0,0,0,Lagun
2008,July,5,0,0,0,0,0,Lagun
2008,August,10,0,0,0,0,0,Westpunt
2008,August,30,0,0,0,0,0,Westpunt
2008,May,15,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Lagun
2008,June,10,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,5,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,August,15,0,0,0,0,0,Westpunt
2008,August,10,0,0,0,0,0,Westpunt
2008,August,5,0,0,0,0,0,Westpunt
2008,August,30,0,0,0,0,0,Santa Marta
2008,August,30,0,0,0,0,0,Santa Marta
2008,August,25,0,0,0,0,0,Lagun
2008,August,5,0,0,0,0,0,Lagun
2008,May,15,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Lagun
2008,June,10,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,5,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,August,15,0,0,0,0,0,Westpunt
2008,August,10,0,0,0,0,0,Westpunt
2008,August,5,0,0,0,0,0,Westpunt
2008,August,30,0,0,0,0,0,Santa Marta
2008,August,30,0,0,0,0,0,Santa Marta
2008,August,25,0,0,0,0,0,Lagun
2008,August,5,0,0,0,0,0,Lagun
2008,May,15,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Lagun
2008,June,10,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,5,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,August,15,0,0,0,0,0,Westpunt
2008,August,10,0,0,0,0,0,Westpunt
2008,August,5,0,0,0,0,0,Westpunt
2008,August,30,0,0,0,0,0,Santa Marta
2008,August,30,0,0,0,0,0,Santa Marta
2008,August,25,0,0,0,0,0,Lagun
2008,August,5,0,0,0,0,0,Lagun
2008,May,15,0,0,0,0,0,Westpunt
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,15,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,30,0,0,0,0,0,Westpunt
2008,June,30,0,0,0,0,0,Westpunt
2008,June,20,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,15,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Westpunt
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,20,0,0,0,0,0,Lagun
2008,June,10,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,June,5,0,0,0,0,0,Lagun
2008,June,20,0,0,0,0,0,Lagun
2008,August,15,0,0,0,0,0,Westpunt
2008,August,10,0,0,0,0,0,Westpunt
2008,August,5,0,0,0,0,0,Westpunt
2008,August,30,0,0,0,0,0,Santa Marta
2008,August,30,0,0,0,0,0,Santa Marta
2008,August,25,0,0,0,0,0,Lagun
