Year,Month,Length,Length Type,Sex,Special,MPA,FisheryDependent,Site
2008,June,40,0,0,0,0,0,Santa Marta
2008,June,40,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,June,45,0,0,0,0,0,Santa Marta
2008,June,25,0,0,0,0,0,Santa Marta
2008,June,10,0,0,0,0,0,Santa Marta
2008,July,40,0,0,0,0,0,Westpunt
2008,July,50,0,0,0,0,0,Westpunt
2008,July,15,0,0,0,0,0,Santa Marta
2008,July,30,0,0,0,0,0,Santa Marta
2008,July,35,0,0,0,0,0,Lagun
2008,August,25,0,0,0,0,0,Santa Marta
2008,August,30,0,0,0,0,0,Lagun
2008,August,45,0,0,0,0,0,Lagun
2014,April,80,0,0,0,0,0,Playa Lagun
2014,April,80,0,0,0,0,0,Playa Lagun
2014,April,80,0,0,0,0,0,Playa Lagun
2014,April,80,0,0,0,0,0,Playa Lagun
2014,April,80,0,0,0,0,0,Playa Lagun
2014,April,25,0,0,0,0,0,Vaersenbaai
2014,April,50,0,0,0,0,0,Vaersenbaai
2014,April,22,0,0,0,0,0,Pierbaai/Marie Pampoen
2014,April,23,0,0,0,0,0,Pierbaai/Marie Pampoen
2014,April,24,0,0,0,0,0,Pierbaai/Marie Pampoen
2014,April,26,0,0,0,0,0,Pierbaai/Marie Pampoen
2014,April,45,0,0,0,0,0,Carmabi
2014,March,15,0,0,0,0,0,Waterfabriek
2014,March,35,0,0,0,0,0,Snakebay
2014,March,40,0,0,0,0,0,Snakebay
2014,March,40,0,0,0,0,0,Snakebay
2014,March,55,0,0,0,0,0,Snakebay
2014,March,20,0,0,0,0,0,Tarpon city
2014,March,21,0,0,0,0,0,Tarpon city
2014,March,25,0,0,0,0,0,Tarpon city
2014,March,25,0,0,0,0,0,Tarpon city
2014,March,45,0,0,0,0,0,Tarpon city
2014,May,20,0,0,0,0,0,Bullenbaai (buis/klim)
2015,June,41,0,0,0,0,1,Boca Sami
2015,June,42,0,0,0,0,1,Santa Cruz
2015,June,37.5,0,0,0,0,1,Santa Cruz
2015,June,41,0,0,0,0,1,Santa Cruz
2015,June,40,0,0,0,0,1,Santa Cruz
2015,June,42,0,0,0,0,1,Laguna
2015,June,42,0,0,0,0,1,Laguna
2015,June,42,0,0,0,0,1,Laguna
2015,June,38.5,0,0,0,0,1,Laguna
2015,June,33,0,0,0,0,1,Playa Piskado
2015,June,17,0,0,0,0,1,Boca Sami
2015,June,19.5,0,0,0,0,1,Boca Sami
2015,June,20,0,0,0,0,1,Boca Sami
2015,June,17.5,0,0,0,0,1,Boca Sami
2015,June,24,0,0,0,0,1,Boca Sami
2015,June,19,0,0,0,0,1,Boca Sami
2015,June,18.5,0,0,0,0,1,Boca Sami
2015,June,40.5,0,0,0,0,1,Lagun
