Year,Month,Length,Length Type,Sex,Special,MPA,Fishery Dependent
2013,August,26,Total Length (cm),-999,-999,0,1
2013,August,26,Total Length (cm),-999,-999,0,1
2013,August,27,Total Length (cm),-999,-999,0,1
2013,August,28,Total Length (cm),-999,-999,0,1
2013,August,29,Total Length (cm),-999,-999,0,1
2013,August,26,Total Length (cm),-999,-999,0,1
2013,August,25,Total Length (cm),-999,-999,0,1
2013,August,26,Total Length (cm),-999,-999,0,1
2013,August,27,Total Length (cm),-999,-999,0,1
2013,August,29,Total Length (cm),-999,-999,0,1
2013,August,32,Total Length (cm),-999,-999,0,1
2013,August,25.5,Total Length (cm),-999,-999,0,1
2013,August,25,Total Length (cm),-999,-999,0,1
2013,August,26.5,Total Length (cm),-999,-999,0,1
2013,August,26,Total Length (cm),-999,-999,0,1
2013,August,25.5,Total Length (cm),-999,-999,0,1
2013,August,26,Total Length (cm),-999,-999,0,1
2013,August,26,Total Length (cm),-999,-999,0,1
2013,August,25.5,Total Length (cm),-999,-999,0,1
2013,August,25.4,Total Length (cm),-999,-999,0,1
2013,August,27,Total Length (cm),-999,-999,0,1
2013,August,29.5,Total Length (cm),-999,-999,0,1
2013,August,27,Total Length (cm),-999,-999,0,1
2013,August,26.5,Total Length (cm),-999,-999,0,1
2012,November,24.87205,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
2012,November,25.6305,Total Length (cm),-999,-999,0,1
