"","Year","Method","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",1995,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"2",1997,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"3",1998,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"4",1999,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"5",2000,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"6",2001,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"7",2002,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"8",2003,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"9",2004,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"10",2005,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"11",2006,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"12",2009,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"13",2010,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"14",2011,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"15",2012,"LBAR",-999,-999,-999,0,"FvM","Uniroot failed, function has no zero root"
"16",2013,"LBAR",-999,-999,-0.54,212.08,"FvM","Uniroot failed, function has no zero root"
