,Year,Method,SampleSize,Value,LowerCI,UpperCI,SD,Metric,Flag
1,1995,LBSPR,19,0.7,0.34,1,0.19,SPR,ModelFailed is FALSE
2,1997,LBSPR,5951,0.61,0.38,1,0.17,SPR,ModelFailed is FALSE
3,1998,LBSPR,5623,0.46,0.27,1,0.15,SPR,ModelFailed is FALSE
4,1999,LBSPR,14751,0.33,0.2,0.61,0.09,SPR,ModelFailed is FALSE
5,2000,LBSPR,15151,0.3,0.17,0.52,0.08,SPR,ModelFailed is FALSE
6,2001,LBSPR,1418,0.27,0.16,0.48,0.07,SPR,ModelFailed is FALSE
7,2002,LBSPR,5682,0.27,0.16,0.53,0.08,SPR,ModelFailed is FALSE
8,2003,LBSPR,4082,0.29,0.16,0.49,0.07,SPR,ModelFailed is FALSE
9,2004,LBSPR,2132,0.31,0.19,0.57,0.08,SPR,ModelFailed is FALSE
10,2005,LBSPR,2984,0.25,0.14,0.43,0.06,SPR,ModelFailed is FALSE
11,2006,LBSPR,3980,0.41,0.24,0.83,0.11,SPR,ModelFailed is FALSE
12,2009,LBSPR,364,0.32,0.16,0.55,0.08,SPR,ModelFailed is FALSE
13,2010,LBSPR,121,0.54,0.34,0.82,0.1,SPR,ModelFailed is FALSE
14,2011,LBSPR,349,0.59,0.35,0.95,0.13,SPR,ModelFailed is FALSE
15,2012,LBSPR,678,0.32,0.19,0.57,0.08,SPR,ModelFailed is FALSE
16,2013,LBSPR,24,0.35,0.09,0.52,0.09,SPR,ModelFailed is FALSE
