Year,Month,Length,Length Type,Sex,Special,MPA,Fishery Dependent
2005,October,32,Total Length(CM),Female,-999,0,1
2009,December,28,Total Length(CM),Female,-999,0,1
2005,December,21,Total Length(CM),Female,-999,0,1
2009,December,29,Total Length(CM),Female,-999,0,1
2009,December,29,Total Length(CM),Female,-999,0,1
2009,December,29,Total Length(CM),Female,-999,0,1
1997,September,27,Total Length(CM),Female,-999,0,1
2000,December,21.2,Total Length(CM),Female,-999,0,1
2006,January,22.6,Total Length(CM),Female,-999,0,1
1998,July,18.0,Total Length(CM),Female,-999,0,1
1998,December,19.5,Total Length(CM),Female,-999,0,1
2005,December,22.4,Total Length(CM),Female,-999,0,1
2006,January,22.5,Total Length(CM),Female,-999,0,1
1999,October,29.1,Total Length(CM),Female,-999,0,1
1998,November,20.0,Total Length(CM),Female,-999,0,1
2000,December,19.5,Total Length(CM),Female,-999,0,1
1998,December,21.0,Total Length(CM),Female,-999,0,1
2000,December,29.7,Total Length(CM),Female,-999,0,1
2000,December,16.7,Total Length(CM),Female,-999,0,1
2000,December,19.7,Total Length(CM),Female,-999,0,1
2000,December,20,Total Length(CM),Female,-999,0,1
1998,December,20.5,Total Length(CM),Female,-999,0,1
2000,December,20.5,Total Length(CM),Female,-999,0,1
1999,October,21,Total Length(CM),Female,-999,0,1
2005,November,21,Total Length(CM),Female,-999,0,1
2005,November,21.3,Total Length(CM),Female,-999,0,1
1998,October,22.0,Total Length(CM),Female,-999,0,1
2005,November,23,Total Length(CM),Female,-999,0,1
2005,December,23,Total Length(CM),Female,-999,0,1
2005,December,23,Total Length(CM),Female,-999,0,1
2005,December,23,Total Length(CM),Female,-999,0,1
2006,January,23,Total Length(CM),Female,-999,0,1
2006,January,23,Total Length(CM),Female,-999,0,1
2006,January,23,Total Length(CM),Female,-999,0,1
2005,December,23.2,Total Length(CM),Female,-999,0,1
2006,January,23.2,Total Length(CM),Female,-999,0,1
2005,December,23.5,Total Length(CM),Female,-999,0,1
2005,December,23.5,Total Length(CM),Female,-999,0,1
2006,January,23.5,Total Length(CM),Female,-999,0,1
1998,October,24.3,Total Length(CM),Female,-999,0,1
1998,November,19.1,Total Length(CM),Female,-999,0,1
1998,December,20.3,Total Length(CM),Female,-999,0,1
1999,November,20.5,Total Length(CM),Female,-999,0,1
1999,November,20.5,Total Length(CM),Female,-999,0,1
1998,November,21.0,Total Length(CM),Female,-999,0,1
2005,December,22.2,Total Length(CM),Female,-999,0,1
2005,December,23,Total Length(CM),Female,-999,0,1
2005,December,23.2,Total Length(CM),Female,-999,0,1
2005,December,23.5,Total Length(CM),Female,-999,0,1
2005,September,22.5,Total Length(CM),Female,-999,0,1
2000,December,20.6,Total Length(CM),Female,-999,0,1
1998,November,21.1,Total Length(CM),Female,-999,0,1
2005,October,32,Total Length(CM),Female,-999,0,1
1999,September,20,Total Length(CM),Female,-999,0,1
2000,December,20.5,Total Length(CM),Female,-999,0,1
2005,December,23.4,Total Length(CM),Female,-999,0,1
1998,July,20.0,Total Length(CM),Female,-999,0,1
2005,October,21,Total Length(CM),Female,-999,0,1
2005,November,21.5,Total Length(CM),Female,-999,0,1
1999,October,22,Total Length(CM),Female,-999,0,1
1999,October,22.1,Total Length(CM),Female,-999,0,1
2005,September,23,Total Length(CM),Female,-999,0,1
2005,December,23,Total Length(CM),Female,-999,0,1
2005,December,23.4,Total Length(CM),Female,-999,0,1
2005,December,23.4,Total Length(CM),Female,-999,0,1
2005,December,23.5,Total Length(CM),Female,-999,0,1
