"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",1995,"LBSPR","19",0.71,0.25,1,0.25,"SPR","ModelFailed is FALSE"
"2",1997,"LBSPR","138",0.32,0.14,0.47,0.1,"SPR","ModelFailed is FALSE"
"3",1998,"LBSPR","376",0.43,0.15,0.91,0.19,"SPR","ModelFailed is FALSE"
"4",1999,"LBSPR","1077",0.28,0.11,0.65,0.12,"SPR","ModelFailed is FALSE"
"5",2000,"LBSPR","958",0.3,0.11,0.61,0.12,"SPR","ModelFailed is FALSE"
"6",2001,"LBSPR","1418",0.29,0.12,0.58,0.12,"SPR","ModelFailed is FALSE"
"7",2002,"LBSPR","1730",0.26,0.09,0.59,0.11,"SPR","ModelFailed is FALSE"
"8",2003,"LBSPR","1016",0.24,0.09,0.5,0.1,"SPR","ModelFailed is FALSE"
"9",2004,"LBSPR","1123",0.32,0.12,0.61,0.12,"SPR","ModelFailed is FALSE"
"10",2005,"LBSPR","2549",0.25,0.1,0.55,0.1,"SPR","ModelFailed is FALSE"
"11",2006,"LBSPR","3044",0.45,0.18,0.98,0.19,"SPR","ModelFailed is FALSE"
"12",2009,"LBSPR","245",0.4,0.18,0.79,0.14,"SPR","ModelFailed is FALSE"
"13",2010,"LBSPR","88",0.59,0.29,0.85,0.15,"SPR","ModelFailed is FALSE"
"14",2011,"LBSPR","143",0.52,0.19,0.79,0.17,"SPR","ModelFailed is FALSE"
"15",2012,"LBSPR","244",0.34,0.15,0.67,0.12,"SPR","ModelFailed is FALSE"
"16",2013,"LBSPR","24",0.36,0.1,0.61,0.13,"SPR","ModelFailed is FALSE"
"17",1995,"LBAR","19",1,0.09,4.01,0.85,"FvM","None"
"18",1997,"LBAR","138",1.72,0.76,4.32,0.74,"FvM","None"
"19",1998,"LBAR","376",1.43,0.36,2.47,0.48,"FvM","None"
"20",1999,"LBAR","1077",2.05,1.05,3.32,0.54,"FvM","None"
"21",2000,"LBAR","958",2.09,1.08,3.27,0.52,"FvM","None"
"22",2001,"LBAR","1418",2.98,1.7,4.7,0.7,"FvM","None"
"23",2002,"LBAR","1730",2.63,1.34,3.91,0.61,"FvM","None"
"24",2003,"LBAR","1016",3.18,1.69,4.62,0.7,"FvM","None"
"25",2004,"LBAR","1123",2.39,1.26,4.15,0.66,"FvM","None"
"26",2005,"LBAR","2549",3.08,1.71,4.81,0.73,"FvM","None"
"27",2006,"LBAR","3044",1.6,0.51,2.77,0.52,"FvM","None"
"28",2009,"LBAR","245",1.63,0.67,3.08,0.53,"FvM","None"
"29",2010,"LBAR","88",1.97,0.6,4.02,0.79,"FvM","None"
"30",2011,"LBAR","143",2.34,0.96,4.38,0.77,"FvM","None"
"31",2012,"LBAR","244",3.31,1.55,5.56,0.82,"FvM","None"
"32",2013,"LBAR","24",6.41,2.43,19.61,3.22,"FvM","None"
"33",1995,"CatchCurve","19",-0.18,-0.88,3.96,0.99,"FvM","Catch-Curve not working-Negative Fishing Mortality"
"34",1997,"CatchCurve","138",1.72,0.73,3.74,0.66,"FvM","No MPA based M possible - derived from LHI and Lit"
"35",1998,"CatchCurve","376",1.16,0.32,1.88,0.38,"FvM","No MPA based M possible - derived from LHI and Lit"
"36",1999,"CatchCurve","1077",2.07,0.82,3.34,0.6,"FvM","No MPA based M possible - derived from LHI and Lit"
"37",2000,"CatchCurve","958",1.61,0.62,2.91,0.56,"FvM","No MPA based M possible - derived from LHI and Lit"
"38",2001,"CatchCurve","1418",1.75,0.69,3.03,0.54,"FvM","No MPA based M possible - derived from LHI and Lit"
"39",2002,"CatchCurve","1730",2.03,0.68,3.34,0.61,"FvM","No MPA based M possible - derived from LHI and Lit"
"40",2003,"CatchCurve","1016",2.74,1.03,3.88,0.65,"FvM","No MPA based M possible - derived from LHI and Lit"
"41",2004,"CatchCurve","1123",1.98,0.69,3.64,0.65,"FvM","No MPA based M possible - derived from LHI and Lit"
"42",2005,"CatchCurve","2549",1.07,0.84,3.5,0.54,"FvM","No MPA based M possible - derived from LHI and Lit"
"43",2006,"CatchCurve","3044",1,0.34,2.42,0.53,"FvM","No MPA based M possible - derived from LHI and Lit"
"44",2009,"CatchCurve","245",1.67,0.61,2.86,0.57,"FvM","No MPA based M possible - derived from LHI and Lit"
"45",2010,"CatchCurve","88",1.3,0.35,2.94,0.61,"FvM","No MPA based M possible - derived from LHI and Lit"
"46",2011,"CatchCurve","143",1.62,0.39,3.55,0.66,"FvM","No MPA based M possible - derived from LHI and Lit"
"47",2012,"CatchCurve","244",2,0.96,4.13,0.68,"FvM","No MPA based M possible - derived from LHI and Lit"
"48",2013,"CatchCurve","24",3.2,0.8,9.88,1.84,"FvM","No MPA based M possible - derived from LHI and Lit"
