"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",1963,"DBSRA","67.2",105.63,88.62,125.5,9.72,"OFL",NA
"2",1964,"DBSRA","61.4",91.81,75.33,110.31,9.61,"OFL",NA
"3",1965,"DBSRA","58.6555555555556",83.27,66.8,102.14,9.6,"OFL",NA
"4",1966,"DBSRA","55.9111111111111",77.82,61.54,96.81,9.61,"OFL",NA
"5",1967,"DBSRA","53.1666666666667",74.53,58.47,93.45,9.61,"OFL",NA
"6",1968,"DBSRA","50.4222222222222",70.56,55.07,89.25,9.34,"OFL",NA
"7",1969,"DBSRA","47.6777777777778",66.85,51.84,84.94,9.03,"OFL",NA
"8",1970,"DBSRA","44.9333333333333",63.82,49.28,81.42,8.76,"OFL",NA
"9",1971,"DBSRA","42.1888888888889",61.63,47.52,78.95,8.54,"OFL",NA
"10",1972,"DBSRA","39.4444444444444",59.87,46.2,76.89,8.31,"OFL",NA
"11",1973,"DBSRA","36.7",58.45,45.14,75.14,8.07,"OFL",NA
"12",1974,"DBSRA","53.2",57.38,44.42,73.68,7.84,"OFL",NA
"13",1975,"DBSRA","22.8",52.77,40.19,68.94,7.65,"OFL",NA
"14",1976,"DBSRA","27",55.4,43.13,70.83,7.44,"OFL",NA
"15",1977,"DBSRA","24.8",56.08,44.11,71.33,7.25,"OFL",NA
"16",1978,"DBSRA","31.8",56.77,45.09,71.91,7.08,"OFL",NA
"17",1979,"DBSRA","30.7",54.77,43.29,69.35,6.93,"OFL",NA
"18",1980,"DBSRA","29.7",54.2,43.03,68.65,6.77,"OFL",NA
"19",1981,"DBSRA","32.8",54.15,43.35,68.56,6.62,"OFL",NA
"20",1982,"DBSRA","31.2",53.63,43.2,67.79,6.48,"OFL",NA
"21",1983,"DBSRA","29.6",53.14,42.9,66.95,6.36,"OFL",NA
"22",1984,"DBSRA","28",53,42.92,66.48,6.24,"OFL",NA
"23",1985,"DBSRA","26.4",53.21,43.25,66.41,6.13,"OFL",NA
"24",1986,"DBSRA","24.8",53.58,43.64,66.57,6.03,"OFL",NA
"25",1987,"DBSRA","23.2",54.05,44.23,67.06,5.94,"OFL",NA
"26",1988,"DBSRA","21.6",54.68,44.98,67.71,5.86,"OFL",NA
"27",1989,"DBSRA","20",55.5,45.95,68.45,5.78,"OFL",NA
"28",1990,"DBSRA","18.4",56.49,47.05,69.21,5.71,"OFL",NA
"29",1991,"DBSRA","16.8",57.63,48.25,70.3,5.65,"OFL",NA
"30",1992,"DBSRA","15.2",58.9,49.53,71.35,5.6,"OFL",NA
"31",1993,"DBSRA","13.6",60.3,51.01,72.62,5.56,"OFL",NA
"32",1994,"DBSRA","12",61.85,52.47,74.05,5.53,"OFL",NA
"33",1995,"DBSRA","98",63.51,54.1,75.68,5.51,"OFL",NA
"34",1996,"DBSRA","57",47.26,38.6,59.32,5.27,"OFL",NA
"35",1997,"DBSRA","65.3",44.57,36.01,56.47,5.21,"OFL",NA
"36",1998,"DBSRA","31",41.28,32.82,52.98,5.17,"OFL",NA
"37",1999,"DBSRA","54.4",46.35,38,58.01,5.22,"OFL",NA
"38",2000,"DBSRA","85",41.45,33.08,52.89,5.11,"OFL",NA
"39",2001,"DBSRA","66",31.05,22.32,42.66,5.13,"OFL",NA
"40",2002,"DBSRA","51.4",26.8,18.04,38.41,5.15,"OFL",NA
"41",2003,"DBSRA","45.8",28.11,19.88,39.49,5.07,"OFL",NA
"42",2004,"DBSRA","25.7",28.91,20.65,40.34,5.07,"OFL",NA
"43",2005,"DBSRA","34.3",30.68,21.97,42.28,5.21,"OFL",NA
"44",2006,"DBSRA","29.7",28.83,19.47,40.86,5.41,"OFL",NA
"45",2007,"DBSRA","32",28.92,19.54,41.09,5.5,"OFL",NA
"46",2008,"DBSRA","26.5",28.77,19.26,40.97,5.56,"OFL",NA
"47",2009,"DBSRA","20.9",30.33,20.66,42.62,5.62,"OFL",NA
"48",2010,"DBSRA","26.4",31.99,22.06,44.46,5.76,"OFL",NA
"49",2011,"DBSRA","41.6",32.06,21.85,44.71,5.89,"OFL",NA
"50",1963,"CatchMSY","67.2",1.39,1.28,1.5,0.05,"Catch/MSY",NA
"51",1964,"CatchMSY","61.4",1.27,1.17,1.37,0.05,"Catch/MSY",NA
"52",1965,"CatchMSY","58.6555555555556",1.22,1.11,1.31,0.05,"Catch/MSY",NA
"53",1966,"CatchMSY","55.9111111111111",1.16,1.06,1.25,0.05,"Catch/MSY",NA
"54",1967,"CatchMSY","53.1666666666667",1.1,1.01,1.19,0.05,"Catch/MSY",NA
"55",1968,"CatchMSY","50.4222222222222",1.05,0.96,1.13,0.05,"Catch/MSY",NA
"56",1969,"CatchMSY","47.6777777777778",0.99,0.91,1.06,0.05,"Catch/MSY",NA
"57",1970,"CatchMSY","44.9333333333333",0.93,0.85,1,0.05,"Catch/MSY",NA
"58",1971,"CatchMSY","42.1888888888889",0.87,0.8,0.94,0.05,"Catch/MSY",NA
"59",1972,"CatchMSY","39.4444444444444",0.82,0.75,0.88,0.05,"Catch/MSY",NA
"60",1973,"CatchMSY","36.7",0.76,0.7,0.82,0.05,"Catch/MSY",NA
"61",1974,"CatchMSY","53.2",1.1,1.01,1.19,0.05,"Catch/MSY",NA
