Year,Month,Length,Length Type,Sex,Special,MPA,Fishery Dependent
2012,November,21.5,Total (cm),Male,-999,0,1
2012,November,22.0,Total (cm),Male,-999,0,1
2012,November,22.0,Total (cm),Male,-999,0,1
2012,November,22.5,Total (cm),Male,-999,0,1
2012,November,22.5,Total (cm),Male,-999,0,1
2012,November,23.0,Total (cm),Male,-999,0,1
2012,November,24.0,Total (cm),Male,-999,0,1
2012,November,24.0,Total (cm),Male,-999,0,1
2012,November,24.5,Total (cm),Male,-999,0,1
2012,November,25.0,Total (cm),Male,-999,0,1
2012,November,25.0,Total (cm),Male,-999,0,1
2012,November,25.0,Total (cm),Male,-999,0,1
2012,November,25.0,Total (cm),Male,-999,0,1
2012,November,25.0,Total (cm),Male,-999,0,1
2012,November,25.0,Total (cm),Male,-999,0,1
2012,November,25.0,Total (cm),Male,-999,0,1
2012,November,25.0,Total (cm),Male,-999,0,1
2012,November,25.5,Total (cm),Male,-999,0,1
2012,November,25.5,Total (cm),Male,-999,0,1
2012,November,25.5,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.0,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.5,Total (cm),Male,-999,0,1
2012,November,26.6,Total (cm),Male,-999,0,1
2012,November,26.7,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
2012,November,27.0,Total (cm),Male,-999,0,1
