Redtail.F,Redtail.M
267,341
259,318
315,330
285,327
289,370
295,343
280,331
332,348
241,340
245,374
221,344
230,346
235,356
227,334
224,400
225,248
256,241
266,231
260,236
260,240
256,285
240,278
284,256
233,264
277,257
292,330
230,306
184,246
269,264
237,266
229,259
286,294
339,338
275,263
263,314
259,235
266,345
271,268
135,205
275,264
270,205
303,260
257,272
304,276
282,278
260,306
265,221
267,281
266,288
284,336
286,397
218,366
199,309
202,319
255,310
251,304
277,316
283,346
150,300
262,310
279,266
223,261
240,310
314,387
268,360
310,381
249,380
274,380
295,395
215,380
155,352
209,325
282,355
250,370
214,305
252,343
326,302
266,312
272,332
330,238
290,254
280,268
273,251
280,244
284,262
290,197
290,266
302,NA
231,NA
234,NA
295,NA
297,NA
289,NA
261,NA
241,NA
268,NA
239,NA
285,NA
268,NA
224,NA
237,NA
191,NA
