Species,redtail - Female,Comments
assumed_Linf,445,Species Linf
assumed_MK,1.63,Natural mortality / von bert K
genM,0.28,fixed at 0.1
genLinf,1,fixed at 1
genLinfCV,0.1,species LinfCV
gent0,0,fixed at 0 
assMatType,Logistic,
assMatL50,267,species L50
assMatL95,300,species L95
assW.beta,3.01,weight coefficient
assumedK,0.1744,
assumedMaxAge,15,max age
assumedWalpha,1.83E-05,weight alpha parameter
assumedSelL50,225,selectivity 50  ?????
assumedSelL95,295,selectivity 95  ?????
minLen,0,
maxLen,450,????
Lm/Linf,0.95505618,???
