Year,Month,Catch,Units,Sex,Special
1994,-999,2153.236,Kilograms,-999,-999
1995,-999,2498.658,Kilograms,-999,-999
1996,-999,797.431,Kilograms,-999,-999
1997,-999,1928.716,Kilograms,-999,-999
1998,-999,1285.051,Kilograms,-999,-999
1999,-999,1452.866,Kilograms,-999,-999
2000,-999,1309.54,Kilograms,-999,-999
2001,-999,2050.719,Kilograms,-999,-999
2002,-999,1496.429,Kilograms,-999,-999
2003,-999,1278.24,Kilograms,-999,-999
2004,-999,1303.413,Kilograms,-999,-999
2005,-999,1636.591,Kilograms,-999,-999
2006,-999,1337.212,Kilograms,-999,-999
2007,-999,450.882,Kilograms,-999,-999
2008,-999,633.232,Kilograms,-999,-999
2009,-999,615.086,Kilograms,-999,-999
2010,-999,893.591,Kilograms,-999,-999
2011,-999,886.34,Kilograms,-999,-999
2012,-999,647.288,Kilograms,-999,-999
2013,-999,229.517552,Kilograms,-999,-999
2014,-999,649.997336,Kilograms,-999,-999
