Species,Method,fish,bio,lower,upper,lower1,upper1
Blue tang,Lbar,10.73857527,,5.423944664,25.12454609,,
Blue tang,lbspr,5.739903349,0.6467,3.06764,12.9185,,
Blue tang,Catch MSY,0.9,0.99,0.48,2.2,0.54,1.49
Queen triggerfish,Lbar,1.019713014,,0,11.75820745,,
Queen triggerfish,lbspr,0.616345501,,5.04E-08,1.9429475,,
Queen triggerfish,Catch MSY,0.86,,0.47,1.79,,
Queen triggerfish,Catch MSY,0,0.95,0.5,1.4,,
Red hind,Lbar,1.56,,1.32,4.83,,
Red hind,lbspr,1.8708,,0.85,2.8,,
Red hind,Catch MSY,0.93,,0.52,2.05,,
Red hind,Catch MSY,0,1.062,0.56,1.5,,
Squirrelfish,Lbar,6.72,,5.12,19.39,,
Squirrelfish,lbspr,6.25,,2.37,11.56,,
Squirrelfish,Catch MSY,0.66,,0.4,1.27,,
Squirrelfish,Catch MSY,0,0.88,0.47,1.03,,
Doctorfish,Lbar,2.98,,1.92,6.35,,
Doctorfish,lbspr,2.5,,0.98,4.58,,
Doctorfish,Catch MSY,1.06,,0.4,3.44,,
Doctorfish,Catch MSY,0,0.86,0.5,1.37,,
Mahogany snapper,Lbar,1.15,,0.6,0.95,,
Mahogany snapper,lbspr,1.27,,0.27,2.8,,
Mahogany snapper,Catch MSY,0.92,,0.34,3.03,,
Mahogany snapper,Catch MSY,0,0.89,0.49,1.4,,
