"File","Year","Month","Site","Sample","SampleType","SampleArea","AreaUnits","Count","Biomass","MPA","DistanceFromBorder"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2011","-999","BIHM4F0511","1","Transect","500","m2","0","0","0","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2011","-999","BIHM4R0511","2","Transect","500","m2","0","0","0","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2011","-999","BIHM5F0511","3","Transect","500","m2","0","0","0","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2011","-999","BIHM5R0511","4","Transect","500","m2","0","0","0","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2011","-999","BIHM6R0511","5","Transect","500","m2","54","1238.46864","0","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2012","-999","BIHM4F0412","6","Transect","500","m2","0","0","0","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2012","-999","BIHM4R0412","7","Transect","500","m2","0","0","0","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2012","-999","BIHM5F0412","8","Transect","500","m2","0","0","0","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2012","-999","BIHM5R0412","9","Transect","500","m2","0","0","0","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2012","-999","BIHM6R0412","10","Transect","500","m2","0","0","0","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2011","-999","BIHM1F0511","11","Transect","500","m2","30","1391.175","1","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2011","-999","BIHM1R0511","12","Transect","500","m2","0","0","1","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2011","-999","BIHM2F0511","13","Transect","500","m2","0","0","1","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2011","-999","BIHM2R0511","14","Transect","500","m2","0","0","1","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2011","-999","BIHM3R0511","15","Transect","500","m2","11","151.14","1","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2012","-999","BIHM1F0412","16","Transect","500","m2","0","0","1","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2012","-999","BIHM1R0412","17","Transect","500","m2","0","0","1","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2012","-999","BIHM2F0412","18","Transect","500","m2","0","0","1","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2012","-999","BIHM2R0412","19","Transect","500","m2","0","0","1","-999"
"Philippines-BIHM-Caesio_cuning_DensityData.csv","2012","-999","BIHM3R0412","20","Transect","500","m2","0","0","1","-999"
