"File","Year","Month","Site","Sample","SampleType","SampleArea","AreaUnits","Count","Biomass","MPA","DistanceFromBorder"
"Philippines-CSAG-Acanthurus_nigrofuscus_DensityData.csv","2012","08","CSAG1F0812","1","Transect","500","m2","7","187.809794591944","1","-999"
"Philippines-CSAG-Acanthurus_nigrofuscus_DensityData.csv","2012","08","CSAG1R0812","2","Transect","500","m2","0","0","1","-999"
"Philippines-CSAG-Acanthurus_nigrofuscus_DensityData.csv","2012","08","CSAG2R0812","3","Transect","500","m2","49","1401.60753755315","1","-999"
"Philippines-CSAG-Acanthurus_nigrofuscus_DensityData.csv","2012","08","CSAG3F0812","4","Transect","500","m2","17","393.593404943687","1","-999"
"Philippines-CSAG-Acanthurus_nigrofuscus_DensityData.csv","2012","08","CSAG3R0812","5","Transect","500","m2","0","0","1","-999"
"Philippines-CSAG-Acanthurus_nigrofuscus_DensityData.csv","2012","08","CSAG4R0812","6","Transect","500","m2","0","0","0","-999"
"Philippines-CSAG-Acanthurus_nigrofuscus_DensityData.csv","2012","08","CSAG5F0812","7","Transect","500","m2","12","344.147535485765","0","-999"
"Philippines-CSAG-Acanthurus_nigrofuscus_DensityData.csv","2012","08","CSAG5R0812","8","Transect","500","m2","0","0","0","-999"
"Philippines-CSAG-Acanthurus_nigrofuscus_DensityData.csv","2012","08","CSAG6F0812","9","Transect","500","m2","43","906.286616027971","0","-999"
"Philippines-CSAG-Acanthurus_nigrofuscus_DensityData.csv","2012","08","CSAG6R0812","10","Transect","500","m2","0","0","0","-999"
