Year,Month,Length,LengthType,Sex,Special,MPA,FisheryDependent
2012,8,11,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,10,-999,-999,-999,1,0
2012,8,10,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,9,-999,-999,-999,1,0
2012,8,9,-999,-999,-999,1,0
2012,8,9,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,13,-999,-999,-999,1,0
2012,8,13,-999,-999,-999,1,0
2012,8,13,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,10,-999,-999,-999,1,0
2012,8,10,-999,-999,-999,1,0
2012,8,10,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,8,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,13,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,13,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,13,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,14,-999,-999,-999,1,0
2012,8,14,-999,-999,-999,1,0
2012,8,14,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,13,-999,-999,-999,1,0
2012,8,13,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,12,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,1,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,13,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,9,-999,-999,-999,0,0
2012,8,9,-999,-999,-999,0,0
2012,8,9,-999,-999,-999,0,0
2012,8,9,-999,-999,-999,0,0
2012,8,9,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,12,-999,-999,-999,0,0
2012,8,12,-999,-999,-999,0,0
2012,8,12,-999,-999,-999,0,0
2012,8,13,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,10,-999,-999,-999,0,0
2012,8,12,-999,-999,-999,0,0
2012,8,12,-999,-999,-999,0,0
2012,8,12,-999,-999,-999,0,0
2012,8,12,-999,-999,-999,0,0
2012,8,12,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,12,-999,-999,-999,0,0
2012,8,11,-999,-999,-999,0,0
2012,8,14,-999,-999,-999,0,0
2012,8,3,-999,-999,-999,1,0
2012,8,3,-999,-999,-999,1,0
