File,Year,Month,Site,Sample,SampleType,SampleArea,AreaUnits,Count,Biomass,MPA,DistanceFromBorder
Philippines-CTAG-Chlorurus_sordidus_DensityData.csv,2011,-999,CTAG1F0511,1,Transect,500,m2,5,627.0625698,1,-999
Philippines-CTAG-Chlorurus_sordidus_DensityData.csv,2011,-999,CTAG1R0511,2,Transect,500,m2,1,194.1535031,1,-999
Philippines-CTAG-Chlorurus_sordidus_DensityData.csv,2012,-999,CTAG1F0512,3,Transect,500,m2,5,2104.399578,1,-999
Philippines-CTAG-Chlorurus_sordidus_DensityData.csv,2012,-999,CTAG1R0512,4,Transect,500,m2,4,640.8121068,1,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2011,-999,CTCL4R0511,1,Transect,500,m2,18,2962.290767,0,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2011,-999,CTCL5F0511,2,Transect,500,m2,3,230.0672775,0,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2011,-999,CTCL5R0511,3,Transect,500,m2,1,74.19501046,0,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2011,-999,CTCL6F0511,4,Transect,500,m2,4,335.3657722,0,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2011,-999,CTCL6R0511,5,Transect,500,m2,0,0,0,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2012,-999,CTCL4R0512,6,Transect,500,m2,0,0,0,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2012,-999,CTCL5F0512,7,Transect,500,m2,0,0,0,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2012,-999,CTCL5R0512,8,Transect,500,m2,19,1887.906869,0,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2012,-999,CTCL6F0512,9,Transect,500,m2,1,354.4166134,0,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2012,-999,CTCL6R0512,10,Transect,500,m2,22,2815.34511,0,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2011,-999,CTCL1F0511,11,Transect,500,m2,3,419.7047768,1,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2011,-999,CTCL1R0511,12,Transect,500,m2,0,0,1,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2011,-999,CTCL2F0511,13,Transect,500,m2,2,255.9553536,1,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2011,-999,CTCL2R0511,14,Transect,500,m2,1,92.20593031,1,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2011,-999,CTCL3R0511,15,Transect,500,m2,1,228.2001231,1,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2012,-999,CTCL1F0512,16,Transect,500,m2,13,1647.436999,1,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2012,-999,CTCL1R0512,17,Transect,500,m2,4,368.8237212,1,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2012,-999,CTCL2F0512,18,Transect,500,m2,2,150.9539116,1,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2012,-999,CTCL2R0512,19,Transect,500,m2,11,947.7674864,1,-999
Philippines-CTCL-Chlorurus_sordidus_DensityData.csv,2012,-999,CTCL3R0512,20,Transect,500,m2,0,0,1,-999
