"Year","Month","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"2012","08","40","-999","-999","-999","1","0"
"2012","08","40","-999","-999","-999","1","0"
"2012","08","40","-999","-999","-999","1","0"
"2012","08","40","-999","-999","-999","1","0"
"2012","08","40","-999","-999","-999","1","0"
"2012","08","40","-999","-999","-999","1","0"
"2012","08","30","-999","-999","-999","1","0"
"2012","08","30","-999","-999","-999","1","0"
"2012","08","30","-999","-999","-999","1","0"
"2012","08","30","-999","-999","-999","1","0"
"2012","08","30","-999","-999","-999","1","0"
"2012","08","40","-999","-999","-999","1","0"
"2012","08","20","-999","-999","-999","1","0"
"2012","08","35","-999","-999","-999","1","0"
"2012","08","30","-999","-999","-999","1","0"
"2012","08","40","-999","-999","-999","1","0"
