"Year","Month","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","10","-999","-999","-999","1","0"
"2012","08","10","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","9","-999","-999","-999","1","0"
"2012","08","9","-999","-999","-999","1","0"
"2012","08","9","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","13","-999","-999","-999","1","0"
"2012","08","13","-999","-999","-999","1","0"
"2012","08","13","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","10","-999","-999","-999","1","0"
"2012","08","10","-999","-999","-999","1","0"
"2012","08","10","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","8","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","13","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","13","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","13","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","14","-999","-999","-999","1","0"
"2012","08","14","-999","-999","-999","1","0"
"2012","08","14","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","13","-999","-999","-999","1","0"
"2012","08","13","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
"2012","08","11","-999","-999","-999","1","0"
