"Year","Month","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
"2012","08","12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"18","-999","-999","-999","1","0"
NA,NA,"18","-999","-999","-999","1","0"
NA,NA,"18","-999","-999","-999","1","0"
NA,NA,"18","-999","-999","-999","1","0"
NA,NA,"18","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"12","-999","-999","-999","1","0"
NA,NA,"11","-999","-999","-999","1","0"
NA,NA,"11","-999","-999","-999","1","0"
NA,NA,"11","-999","-999","-999","1","0"
NA,NA,"11","-999","-999","-999","1","0"
NA,NA,"11","-999","-999","-999","1","0"
