"Year","Month","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"2012","08","9","-999","-999","-999","1","0"
"2012","08","8","-999","-999","-999","1","0"
"2012","08","8","-999","-999","-999","1","0"
"2012","08","8","-999","-999","-999","1","0"
"2012","08","8","-999","-999","-999","1","0"
"2012","08","8","-999","-999","-999","1","0"
"2012","08","8","-999","-999","-999","1","0"
"2012","08","6","-999","-999","-999","1","0"
"2012","08","6","-999","-999","-999","1","0"
"2012","08","6","-999","-999","-999","1","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"8","-999","-999","-999","0","0"
NA,NA,"6","-999","-999","-999","0","0"
