"Year","Month","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","16","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
