"Year","Month","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","9","-999","-999","-999","1","0"
"2012","07","9","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","10","-999","-999","-999","1","0"
"2012","07","10","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","10","-999","-999","-999","1","0"
"2012","07","10","-999","-999","-999","1","0"
"2012","07","10","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","14","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","9","-999","-999","-999","1","0"
"2012","07","9","-999","-999","-999","1","0"
"2012","07","9","-999","-999","-999","1","0"
"2012","07","9","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","10","-999","-999","-999","1","0"
"2012","07","10","-999","-999","-999","1","0"
"2012","07","10","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","10","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","10","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","11","-999","-999","-999","1","0"
"2012","07","13","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","1","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","10","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","11","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","3","-999","-999","-999","0","0"
"2012","07","3","-999","-999","-999","0","0"
"2012","07","3","-999","-999","-999","0","0"
"2012","07","3","-999","-999","-999","0","0"
"2012","07","8","-999","-999","-999","0","0"
"2012","07","8","-999","-999","-999","0","0"
"2012","07","8","-999","-999","-999","0","0"
"2012","07","8","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","10","-999","-999","-999","0","0"
"2012","07","10","-999","-999","-999","0","0"
"2012","07","10","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","12","-999","-999","-999","0","0"
"2012","07","8","-999","-999","-999","0","0"
"2012","07","8","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","10","-999","-999","-999","0","0"
"2012","07","10","-999","-999","-999","0","0"
"2012","07","16","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","15","-999","-999","-999","0","0"
"2012","07","15","-999","-999","-999","0","0"
"2012","07","14","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
"2012","07","13","-999","-999","-999","0","0"
