Sample_id,Dive_Id,Latitude,Longitude,Date,Time,Bio-region,Province,Municipality,Barangay,Site_Name,T_Depth,T_width adult ,T_width juv,t_length(m),Data,MPA,Blocks,Remarks,
CPIL1R0812,D2D3,10.80366,124.57128,8/10/2012,2:19 PM,,Cebu,Pilar,,,,10,1,50,,no,no,Outside Random,
CPIL2F0812,D2D2,10.8012,124.57139,8/10/2012,11:54 PM,,Cebu,Pilar,,,,10,1,50,,no,yes,Outside Fixed,
CPIL2R0812,D2D2,10.8012,124.57139,8/10/2012,11:54 PM,,Cebu,Pilar,,,,10,1,50,,no,no,Outside Random,
CPIL3F0812,D2D1,10.79947,124.57113,8/10/2012,9:48 AM,,Cebu,Pilar,,,,10,1,50,,yes,yes,Inside Fixed,
CPIL3R0812,D2D1,10.79947,124.57113,8/10/2012,9:48 AM,,Cebu,Pilar,,,,10,1,50,,yes,no,Inside Random,Pilar_D2nonMPA_noblocks
CPIL4R0812,D1D3,10.79813,124.57049,8/9/2012,5:14PM,,Cebu,Pilar,,,,10,1,50,,yes,no,Inside Random,
CPIL5F0812,D1D1,10.79505,124.56897,8/9/2012,12:32 PM,,Cebu,Pilar,,,,10,1,50,,yes,yes,Inside Fixed,
CPIL5R0812,D1D1,10.79505,124.56897,8/9/2012,12:32 PM,,Cebu,Pilar,,,,10,1,50,,yes,no,Inside Random,Pilar_D1MPA_noblocks
CPIL6F0812,D1D2,10.79078,124.56645,8/9/2012,3:27 PM,,Cebu,Pilar,,,,10,1,50,,no,yes,Outside Fixed,
CPIL6R0812,D1D2,10.79078,124.56645,8/9/2012,3:27 PM,,Cebu,Pilar,,,,10,1,50,,no,no,Outside Random,
CSAG1F0812,D1D2,13.58288,123.57596,8/22/2012,2:50 PM,,Camarines Sur,Sagnay,,,,10,1,50,,yes,yes,Inside Fixed,
CSAG1R0812,D1D2,13.58288,123.57596,8/22/2012,3:52 AM,,Camarines Sur,Sagnay,,,,10,1,50,,yes,no,Inside Random,
CSAG2R0812,D2D1,13.59284,123.47107,8/23/2012,10:00 AM,,Camarines Sur,Sagnay,,,,10,1,50,,yes,no,Inside Random,
CSAG3F0812,D1D1,13.59243,123.56726,8/22/2012,12:45 PM,,Camarines Sur,Sagnay,,,,10,1,50,,yes,yes,Inside Fixed,
CSAG3R0812,D1D1,13.59243,123.56726,8/22/2012,12:45 PM,,Camarines Sur,Sagnay,,,,10,1,50,,yes,no,Inside Random,
CSAG4R0812,D2D1,13.59758,123.56739,8/23/2012,10:16 AM,,Camarines Sur,Sagnay,,,,10,1,50,,no,no,Outside Random,
CSAG5F0812,D2D3,13.59416,123.55975,8/23/2012,4:21 PM,,Camarines Sur,Sagnay,,,,10,1,50,,no,yes,Outside Fixed,
CSAG5R0812,D2D3,13.59416,123.55975,8/23/2012,4:21 PM,,Camarines Sur,Siruma,,,,10,1,50,,no,no,Outside Random,
CSAG6F0812,D2D2,13.57969,123.56332,8/23/2012,2:18 PM,,Camarines Sur,Sagnay,,,,10,1,50,,no,yes,Outside Fixed,
CSAG6R0812,D2D2,13.57969,123.56332,8/23/2012,2:18 PM,,Camarines Sur,Sagnay,,,,10,1,50,,no,no,Outside Random,
CSIR1F0812,D2D1,14.03979,123.24614,8/28/2012,9:49 AM,,Camarines Sur,Siruma,,,,10,1,50,,no,yes,Outside Fixed,
CSIR1R0812,D2D1,14.03979,123.24614,8/28/2012,9:49 AM,,,,,,,10,1,50,,no,no,Outside Random,
CSIR2R0812,D1D3,14.03952,123.24732,8/27/2012,4:41 PM,,,,,,,10,1,50,,no,no,Outside Random,
CSIR3F0812,D2D2,14.04766,123.25978,8/28/2012,12:01 PM,,Camarines Sur,Siruma,,,,10,1,50,,no,yes,Outside Fixed,
CSIR3R0812,D2D2,14.04766,123.25978,8/28/2012,12:01 PM,,,,,,,10,1,50,,no,no,Outside Random,
CSIR4F0812,D1D2,14.0553,123.26242,8/27/2012,2:39 PM,,Camarines Sur,Siruma,,,,10,1,50,,yes,yes,Inside Fixed,
CSIR4R0812,D1D2,14.0553,123.26242,8/27/2012,2:39 PM,,,,,,,10,1,50,,yes,no,Inside Random,
CSIR5F0812,D1D1,14.05602,123.25919,8/27/2012,10:33 AM,,Camarines Sur,Siruma,,,,10,1,50,,yes,yes,Inside Fixed,
CSIR5R0812,D1D1,14.05602,123.25919,8/27/2012,10:33 AM,,,,,,,10,1,50,,yes,no,Inside Random,
CSIR6R0812,D2D3,14.0594,123.25726,8/28/2012,2:53 PM,,Camarines Sur,Siruma,,,,10,1,50,,yes,no,Inside Random,
,,,,,,,,,,,,,1,50,,,,,
CTIG1A0812,D1D1,13.62667,123.53902,8/15/2012,2:35 PM,,Camarines Sur,Tigaon,,,,10,1,50,,yes,no,Inside Random,
CTIG1B0812,D1D1,13.62667,123.53902,8/15/2012,2:35 PM,,Camarines Sur,Tigaon,,,,10,1,50,,yes,no,Inside Random,
CTIG2F0812,D2D2,13.62676,123.5367,8/16/2012,11:23 AM,,Camarines Sur,Tigaon,,,,10,1,50,,no,yes,Outside Fixed,
CTIG3F0812,D1D3,,,,,,,,,,,10,1,50,,yes,yes,Inside Fixed,
CTIG3R0812,D1D3,,,,,,,,,,,10,1,50,,yes,no,Inside Random,
CTIG4F0812,D1D2,13.63557,123.54154,8/15/2012,4:24 PM,,Camarines Sur,Tigaon,,,,10,1,50,,yes,yes,Inside Fixed,
CTIG4R0812,D1D2,13.63557,123.54154,8/15/2012,4:24 PM,,Camarines Sur,Tigaon,,,,10,1,50,,yes,no,Inside Random,
CTIG5F0812,D2D1,13.63622,123.54124,8/16/2012,10:34 AM,,Camarines Sur,Tigaon,,,,10,1,50,,no,yes,Outside Fixed,
CTIG5R0812,D2D1,13.63622,123.54124,8/16/2012,10:34 AM,,Camarines Sur,Tigaon,,,,10,1,50,,no,no,Outside Random,
CTIG6R0812,D2D2?,,,,,,,,,,,,1,50,,,,,
,,,,,,,,,,,,,1,50,,,,,
DSAM1R0712,D3D1,6.96347,125.69037,7/13/2012,8:30 AM,,Davao del Norte,Samal,Talicud,,,10,1,50,,no,no,Outside Random,
DSAM2F0712,D2D2,6.96476,125.69146,7/12/2012,1:00 PM,,Davao del Norte,Samal,Talicud,,,10,1,50,,no,yes,Outside Fixed,
DSAM2R0712,D2D2,6.96476,125.69146,7/12/2012,1:00 PM,,Davao del Norte,Samal,Talicud,,,10,1,50,,no,no,Outside Random,
DSAM3F0712,D2D1,6.96263,125.699,7/12/2012,9:30 AM,,Davao del Norte,Samal,Talicud,,,10,1,50,,no,yes,Outside Fixed,
DSAM3R0712,D2D1,6.96263,125.699,7/12/2012,9:30 AM,,Davao del Norte,Samal,Talicud,,,10,1,50,,no,no,Outside Random,
DSAM4F0712,D1D2,6.96606,125.69395,7/11/2012,1:00 PM,,Davao del Norte,Samal,Talicud,,,10,1,50,,yes,yes,Inside Fixed,
DSAM4R0712,D1D2,6.96606,125.69395,7/11/2012,1:00 PM,,Davao del Norte,Samal,Talicud,,,10,1,50,,yes,no,Inside Random,
DSAM5F0712,D1D1,6.96549,125.69415,7/11/2012,9:30 AM,,Davao del Norte,Samal,Talicud,,,10,1,50,,yes,yes,Inside Fixed,
DSAM5R0712,D1D1,6.96549,125.69415,7/11/2012,9:30 AM,,Davao del Norte,Samal,Talicud,,,10,1,50,,yes,no,Inside Random,
DSAM6R0712,D3D2,6.96556,125.69506,7/13/2012,10:30 AM,,Davao del Norte,Samal,Talicud,,,10,1,50,,yes,no,Inside Random,
DSAMR0712,D2D1,6.96263,125.699,7/12/2012,9:30 AM,,Davao del Norte,Samal,Talicud,,,10,1,50,,no,no,Outside Random,
NAYU1F0712,D2D1,9.88515,123.1502,7/29/2012,9:30 AM,,Negros Oriental,Ayungon,,,,10,1,50,,no,yes,Outside Fixed,
NAYU1R0712,D2D1,9.88515,123.1502,7/29/2012,9:30 AM,,Negros Oriental,Ayungon,,,,10,1,50,,no,no,Outside Random,
NAYU2F0712,D1D1,9.88838,123.14853,7/28/2012,9:49 AM,,Negros Oriental,Ayungon,,,,10,1,50,,yes,yes,Inside Fixed,
NAYU2R0712,D1D1,9.88838,123.14853,7/28/2012,9:49 AM,,Negros Oriental,Ayungon,,,,10,1,50,,yes,no,Inside Random,
NAYU3F0712,D1D2,9.88926,123.14869,7/28/2012,1:30 PM,,Negros Oriental,Ayungon,,,,10,1,50,,yes,yes,Inside Fixed,
NAYU3R0712,D1D2,9.88926,123.14869,7/28/2012,1:30 PM,,Negros Oriental,Ayungon,,,,10,1,50,,yes,no,Inside Random,
NAYU4R0712,D1D3,,,7/28/2012,4:00 PM,,Negros Oriental,Ayungon,,,,10,1,50,,yes,no,Inside Random,
NAYU5F0712,D2D2,9.89216,123.14817,7/29/2012,3:00 PM,,Negros Oriental,Ayungon,,,,10,1,50,,no,yes,Outside Fixed,
NAYU5R0712,D2D2,9.89216,123.14817,7/29/2012,3:00 PM,,Negros Oriental,Ayungon,,,,10,1,50,,no,no,Outside Random,
NAYU6R0712,D1D3_mel,9.89307,123.14827,7/28/2012,4:00 PM,,Negros Oriental,Ayungon,,,,10,1,50,,no,no,Outside Random,
NBIN1F0712,D2D2,9.78471,123.16228,7/26/2012,11:30,,Negros Oriental,Bindoy,Mantalip,,,10,1,50,,no,yes,Outside Fixed,
NBIN1R0712,D2D2,9.78471,123.16228,7/26/2012,11:30,,Negros Oriental,Bindoy,Mantalip,,,10,1,50,,no,no,Outside Random,
NBIN2R0712,D1D1_mel,9.78924,123.1672,7/25/2012,8:30 AM,,,,,,,10,1,50,,no,no,Outside Random,
NBIN3R0712,D1D1,9.79708,123.16926,7/25/2012,,,,,,,,10,1,50,,yes,no,Inside Random,
NBIN4F0712,D1D2,9.79789,123.16947,7/25/2012,11:00 AM,,Negros Oriental,Bindoy,Mantalip,,,10,1,50,,yes,yes,Inside Fixed,
NBIN4R0712,D1D2,9.79789,123.16947,7/25/2012,11:00 AM,,Negros Oriental,Bindoy,Mantalip,,,10,1,50,,yes,no,Inside Random,
NBIN5F0712,D1D3,9.79857,123.16949,7/25/2012,2:20 PM,,Negros Oriental,Bindoy,Mantalip,,,10,1,50,,yes,yes,Inside Fixed,
NBIN5R0712,D1D3,9.79857,123.16949,7/25/2012,2:20 PM,,Negros Oriental,Bindoy,Mantalip,,,10,1,50,,yes,no,Inside Random,
NBIN6F0712,D2D1,9.80297,123.1681,7/26/2012,8:30 AM,,Negros Oriental,Bindoy,Mantalip,,,10,1,50,,no,yes,Outside Fixed,
NBIN6R0712,D2D1,9.80297,123.1681,7/26/2012,8:30 AM,,Negros Oriental,Bindoy,Mantalip,,,10,1,50,,no,no,Outside Random,
PROX1F0912,D2D3,10.15011,119.25552,9/2/2012,3:29 AM,,Palawan,Roxas,,,,10,1,50,,no,yes,Outside Fixed,
PROX1R0912,D2D3,10.15011,119.25552,9/2/2012,3:29 AM,,Palawan,Roxas,,,,10,1,50,,no,no,Outside Random,
PROX2F0912,D2D1,10.18159,119.26597,9/2/2012,9:48 AM,,Palawan,Roxas,,,,10,1,50,,no,yes,Outside Fixed,
PROX2R0912,D2D1,10.18159,119.26597,9/2/2012,12:41 PM,,Palawan,Roxas,,,,10,1,50,,no,no,Outside Random,
PROX3F0912,D1D1,10.17729,119.26135,9/1/2012,10:12 AM,,Palawan,Roxas,,,,10,1,50,,yes,yes,Inside Fixed,
PROX3R0912,D1D1,10.17729,119.26135,9/1/2012,10:12 AM,,Palawan,Roxas,,,,10,1,50,,yes,no,Inside Random,
PROX4F0912,D1D2,10.1556,119.24902,9/1/2012,2:06 PM,,Palawan,Roxas,,,,10,1,50,,yes,yes,Inside Fixed,
PROX4R0912,D2D2,10.1556,119.24902,9/2/2012,12:55,,Palawan,Roxas,,,,10,1,50,,yes,no,Inside Random,
,,,,,,,,,,,,,1,50,,,,,
SLIA1F0712,D2D3,8.64452,126.10523,7/7/2012,1:25 PM,,Surigao del Sur,Lianga,,,,10,1,50,,no,yes,Outside Fixed,
SLIA1R0712,D2D3,8.64452,126.10523,7/7/2012,1:25 PM,,Surigao del Sur,Lianga,,,,10,1,50,,no,no,Outside Random,
SLIA2R0712,D1D3,8.65138,126.10832,7/6/2012,3:09 PM,,Surigao del Sur,Lianga,,,,10,1,50,,no,no,Outside Random,
SLIA3F0712,D1D1,8.64592,126.11502,7/6/2012,8:23 AM,,Surigao del Sur,Lianga,,,,10,1,50,,yes,yes,Inside Fixed,
SLIA3R0712,D1D1,8.64592,126.11502,7/6/2012,8:23 AM,,Surigao del Sur,Lianga,,,,10,1,50,,yes,no,Inside Random,
SLIA4R0712,D2D2,8.64761,126.11657,7/7/2012,10:28 AM,,Surigao del Sur,Lianga,,,,10,1,50,,yes,no,Inside Random,
SLIA5F0712,D1D2,8.65035,126.12193,7/6/2012,12:07am,,Surigao del Sur,Lianga,,,,10,1,50,,yes,yes,Inside Fixed,
SLIA5R0712,D1D2,8.65035,126.12193,7/6/2012,12:07am,,Surigao del Sur,Lianga,,,,10,1,50,,yes,no,Inside Random,
SLIA6F0712,D2D1,8.65339,126.12838,7/7/2012,9:01 AM,,Surigao del Sur,Lianga,,,,10,1,50,,no,yes,Outside Fixed,
SLIA6R0712,D2D1,8.65339,126.12838,7/7/2012,9:01 AM,,Surigao del Sur,Lianga,,,,10,1,50,,no,no,Outside Random,
,,,,,,,,,,,,,1,50,,,,,
SMAR1F0712,D1D1,8.78292,126.31361,7/2/2012,2:05 PM,,Surigao del Sur,Marihatag,,,,10,1,50,,yes,yes,Inside Fixed,
SMAR1R0712,D1D1,8.78292,126.31361,7/2/2012,2:05 PM,,Surigao del Sur,Marihatag,,,,10,1,50,,yes,no,Inside Random,
SMAR2F0712,D2D1,8.78282,126.30677,7/3/2012,9:35 AM,,Surigao del Sur,Marihatag,,,,10,1,50,,yes,yes,Inside Fixed,
SMAR2R0712,D2D1,8.78282,126.30677,7/3/2012,9:35 AM,,Surigao del Sur,Marihatag,,,,10,1,50,,yes,no,Inside Random,
SMAR3F0712,D2D2,8.78746,126.30916,7/3/2012,1:49 PM,,Surigao del Sur,Marihatag,,,,10,1,50,,no,yes,Outside Fixed,
