Sample_id,Point,Side,Fieldcode,Size_est,Actual_cnt,Juv,Rec,
ZIPI5R0712,45,B,Chromis retrofasciata,1,1,TRUE,MRD,
ZIPI5R0712,45,B,Pomacentrus sp.,2,2,TRUE,MRD,
ZIPI5R0712,45,B,Pomacentrus sp.,1,2,TRUE,MRD,
ZIPI5R0712,40,B,Neopomacentrus anabatoides,2,20,TRUE,MRD,
ZIPI5R0712,20,B,Neopomacentrus anabatoides,2,25,TRUE,MRD,
ZIPI5R0712,20,B,Neopomacentrus anabatoides,1,20,TRUE,MRD,
ZIPI5R0712,20,B,Pomacentrus alexanderae,2,1,TRUE,MRD,
ZIPI5R0712,20,B,Pomacentrus auriventris,3,2,TRUE,MRD,
ZIPI5R0712,5,B,Neopomacentrus anabatoides,2,50,TRUE,MRD,
ZIPI5R0712,5,B,Neopomacentrus anabatoides,1,35,TRUE,MRD,
ZIPI5R0712,0,RD,Zanclus cornutus,13,1,FALSE,MRD,
ZIPI5R0712,0,RD,Amblyglyphidodon leucogaster,12,2,FALSE,MRD,
ZIPI5R0712,0,RD,Amblyglyphidodon curacao,10,12,FALSE,MRD,
ZIPI5R0712,0,RD,Pomacentrus alexanderae,8,2,FALSE,MRD,
ZIPI5R0712,0,RD,Chaetodon kleinii,10,1,FALSE,MRD,
ZIPI5R0712,0,RD,Lutjanus carponotatus,30,1,FALSE,MRD,
ZIPI5R0712,0,RD,Myripristis hexagona,20,1,FALSE,MRD,
ZIPI5R0712,0,RD,Epibulus insidiator,12,1,FALSE,MRD,
ZIPI5R0712,0,RD,Pomacentrus reidi,7,3,FALSE,MRD,
ZIPI5R0712,0,RD,Neopomacentrus anabatoides,6,10,FALSE,MRD,
ZIPI5R0712,0,RD,Pomacentrus auriventris,6,2,FALSE,MRD,
ZIPI5R0712,0,RD,Pomacentrus auriventris,4,6,FALSE,MRD,
ZIPI5R0712,0,LS,Amphiprion ocellaris,8,1,FALSE,MRD,
ZIPI5R0712,0,LS,Amphiprion ocellaris,6,1,FALSE,MRD,
ZIPI5R0712,0,LS,Amphiprion ocellaris,4,1,FALSE,MRD,
ZIPI5R0712,0,LS,Pentapodus bifasciatus,18,1,FALSE,MRD,
ZIPI5R0712,0,LS,Neopomacentrus anabatoides,6,10,FALSE,MRD,
ZIPI5R0712,0,LS,Pomacentrus auriventris,6,7,FALSE,MRD,
ZIPI5R0712,0,LS,Pomacentrus auriventris,4,2,FALSE,MRD,
ZIPI5R0712,0,LS,Amblyglyphidodon leucogaster,12,1,FALSE,MRD,
ZIPI5R0712,0,LS,Pentapodus bifasciatus,15,1,FALSE,MRD,
ZIPI5R0712,0,LS,Pomacentrus burroughi,8,1,FALSE,MRD,
ZIPI5R0712,0,LS,Pomacentrus amboinensis,7,1,FALSE,MRD,
ZIPI5R0712,0,LS,Amblyglyphidodon curacao,6,1,FALSE,MRD,
ZIPI5R0712,5,LS,Amblyglyphidodon curacao,6,1,FALSE,MRD,
ZIPI5R0712,5,LS,Pomacentrus amboinensis,7,1,FALSE,MRD,
ZIPI5R0712,5,LS,Pomacentrus reidi,6,4,FALSE,MRD,
ZIPI5R0712,5,LS,Chaetodontoplus mesoleucus,18,1,FALSE,MRD,
ZIPI5R0712,5,LS,Chaetodontoplus mesoleucus,15,1,FALSE,MRD,
ZIPI5R0712,5,RD,Pomacentrus reidi,6,5,FALSE,MRD,
ZIPI5R0712,5,RD,Halichoeres trimaculatus,10,2,FALSE,MRD,
ZIPI5R0712,5,RD,Amblyglyphidodon curacao,6,1,FALSE,MRD,
ZIPI5R0712,5,RD,Cheilinus fasciatus,12,1,FALSE,MRD,
ZIPI5R0712,5,RD,Cephalopholis microprion,10,1,FALSE,MRD,
ZIPI5R0712,5,RD,Pomacentrus burroughi,8,2,FALSE,MRD,
ZIPI5R0712,5,RD,Halichoeres melanurus,10,1,FALSE,MRD,
ZIPI5R0712,10,RD,Pentapodus aureofasciatus,10,1,FALSE,MRD,
ZIPI5R0712,10,RD,Scarus dimidiatus,10,1,FALSE,MRD,
ZIPI5R0712,10,RD,Amblyglyphidodon curacao,6,2,FALSE,MRD,
ZIPI5R0712,10,RD,Pomacentrus reidi,6,2,FALSE,MRD,
ZIPI5R0712,10,RD,Pomacentrus burroughi,8,1,FALSE,MRD,
ZIPI5R0712,10,LS,Chaetodon octofasciatus,8,1,FALSE,MRD,
ZIPI5R0712,10,LS,Amblyglyphidodon curacao,6,8,FALSE,MRD,
ZIPI5R0712,10,LS,Amblyglyphidodon curacao,8,4,FALSE,MRD,
ZIPI5R0712,10,LS,Pomacentrus burroughi,8,1,FALSE,MRD,
ZIPI5R0712,10,LS,Pomacentrus reidi,6,8,FALSE,MRD,
ZIPI5R0712,15,LS,Pomacentrus reidi,6,6,FALSE,MRD,
