"File","Year","Month","Site","Sample","SampleType","SampleArea","AreaUnits","Count","Biomass","MPA","DistanceFromBorder"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2011","-999","SCAY4F0411","1","Transect","500","m2","7","570.690480891979","0","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2011","-999","SCAY4R0411","2","Transect","500","m2","3","163.569530540547","0","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2011","-999","SCAY5R0411","3","Transect","500","m2","1","25.7081833121341","0","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2011","-999","SCAY6F0411","4","Transect","500","m2","0","0","0","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2011","-999","SCAY6R0411","5","Transect","500","m2","8","485.484787442277","0","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2012","-999","SCAY4F0312","6","Transect","500","m2","0","0","0","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2012","-999","SCAY4R0312","7","Transect","500","m2","34","1295.8622215411","0","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2012","-999","SCAY5R0312","8","Transect","500","m2","0","0","0","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2012","-999","SCAY6F0312","9","Transect","500","m2","11","419.109846929524","0","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2012","-999","SCAY6R0312","10","Transect","500","m2","14","366.99661676245","0","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2011","-999","SCAY1F0411","11","Transect","500","m2","1","45.6554169171778","1","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2011","-999","SCAY1R0411","12","Transect","500","m2","14","341.25116647293","1","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2011","-999","SCAY2F0411","13","Transect","500","m2","4","780.385176602604","1","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2011","-999","SCAY2R0411","14","Transect","500","m2","7","1347.96234531735","1","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2011","-999","SCAY3R0411","15","Transect","500","m2","4","396.919443168987","1","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2012","-999","SCAY1F0312","16","Transect","500","m2","5","203.622627485885","1","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2012","-999","SCAY1R0312","17","Transect","500","m2","0","0","1","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2012","-999","SCAY2F0312","18","Transect","500","m2","4","882.034176424604","1","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2012","-999","SCAY2R0312","19","Transect","500","m2","5","143.123168425396","1","-999"
"Philippines-SCAY-Chlorurus_sordidus_DensityData.csv","2012","-999","SCAY3R0312","20","Transect","500","m2","11","428.658546773171","1","-999"
