"File","Year","Month","Site","Sample","SampleType","SampleArea","AreaUnits","Count","Biomass","MPA","DistanceFromBorder"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2011","-999","SCUB4R0311","1","Transect","500","m2","7","67.5269143729745","0","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2011","-999","SCUB5F0311","2","Transect","500","m2","1","12.7293095285402","0","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2011","-999","SCUB5R0311","3","Transect","500","m2","3","95.1287799477887","0","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2011","-999","SCUB6F0311","4","Transect","500","m2","0","0","0","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2011","-999","SCUB6R0311","5","Transect","500","m2","5","141.341062858621","0","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2012","-999","SCUB4F0312","6","Transect","500","m2","4","239.700854747047","0","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2012","-999","SCUB5F0312","7","Transect","500","m2","2","99.9031937684798","0","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2012","-999","SCUB5R0312","8","Transect","500","m2","0","0","0","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2012","-999","SCUB6F0312","9","Transect","500","m2","2","187.18743648331","0","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2012","-999","SCUB6R0312","10","Transect","500","m2","0","0","0","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2011","-999","SCUB1F0311","11","Transect","500","m2","2","71.3636002293119","1","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2011","-999","SCUB1R0311","12","Transect","500","m2","2","237.944433723012","1","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2011","-999","SCUB2F0311","13","Transect","500","m2","3","94.2070228472238","1","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2011","-999","SCUB2R0311","14","Transect","500","m2","0","0","1","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2011","-999","SCUB3R0311","15","Transect","500","m2","5","80.8008353588326","1","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2012","-999","SCUB1F0312","16","Transect","500","m2","0","0","1","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2012","-999","SCUB1R0312","17","Transect","500","m2","0","0","1","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2012","-999","SCUB2F0312","18","Transect","500","m2","7","934.699053152261","1","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2012","-999","SCUB2R0312","19","Transect","500","m2","0","0","1","-999"
"Philippines-SCUB-Chlorurus_sordidus_DensityData.csv","2012","-999","SCUB3F0312","20","Transect","500","m2","6","416.630469198906","1","-999"
