File,Year,Month ,Site,Sample,SampleType,EffortValue,EffortUnits,Count,Biomass,PremadeCPUE
,2008,August,1,-999,HL,1,Day,-999,-999,2.123638988
,2008,August,1,-999,HL,1,# fish,-999,-999,1.839080498
,2008,August,1,-999,HL,1,# fish,-999,-999,3.573950716
,2008,August,1,-999,HL,1,# fish,-999,-999,2.561484909
,2012,August,1,-999,HL,1,# fish,-999,-999,2.287348127
,2011,August,1,-999,HL,1,# fish,-999,-999,1.418002437
,2012,August,1,-999,HL,1,# fish,-999,-999,5.779036773
,2011,August,1,-999,HL,1,# fish,-999,-999,3.520864336
,2012,August,1,-999,HL,1,# fish,-999,-999,2.251355001
,2009,August,1,-999,HL,1,# fish,-999,-999,3.3375889
,2010,August,1,-999,HL,1,# fish,-999,-999,0.411865652
,2011,August,1,-999,HL,1,# fish,-999,-999,0.240360542
,2012,August,1,-999,HL,1,# fish,-999,-999,8.18488658
,2009,August,1,-999,HL,1,# fish,-999,-999,3.101948172
,2010,August,1,-999,HL,1,# fish,-999,-999,3.625523687
,2011,August,1,-999,HL,1,# fish,-999,-999,6.516996691
,2009,August,1,-999,HL,1,# fish,-999,-999,3.590798565
,2010,August,1,-999,HL,1,# fish,-999,-999,0.419473753
,2007,August,1,-999,HL,1,# fish,-999,-999,0.400637869
,2009,August,1,-999,HL,1,# fish,-999,-999,2.195389688
,2010,August,1,-999,HL,1,# fish,-999,-999,2.285983047
,2007,August,1,-999,HL,1,# fish,-999,-999,3.79710621
,2007,August,1,-999,HL,1,# fish,-999,-999,2.115480277
,2007,August,1,-999,HL,1,# fish,-999,-999,5.080998007
,2008,July,1,-999,HL,1,# fish,-999,-999,0.950147701
,2008,July,1,-999,HL,1,# fish,-999,-999,1.071141659
,2008,July,1,-999,HL,1,# fish,-999,-999,1.657458561
,2008,July,1,-999,HL,1,# fish,-999,-999,1.329067201
,2009,July,1,-999,HL,1,# fish,-999,-999,1.001015528
,2009,July,1,-999,HL,1,# fish,-999,-999,2.559259023
,2009,July,1,-999,HL,1,# fish,-999,-999,0.928533839
,2009,July,1,-999,HL,1,# fish,-999,-999,3.105145233
,2011,October,1,-999,HL,1,# fish,-999,-999,2.602791426
,2007,October,1,-999,HL,1,# fish,-999,-999,1.035234225
,2007,October,1,-999,HL,1,# fish,-999,-999,3.273326603
,2007,October,1,-999,HL,1,# fish,-999,-999,3.047668183
,2010,September,1,-999,HL,1,# fish,-999,-999,5.220386107
,2011,September,1,-999,HL,1,# fish,-999,-999,4.296377202
,2010,September,1,-999,HL,1,# fish,-999,-999,1.783102981
,2011,September,1,-999,HL,1,# fish,-999,-999,0.694677193
,2010,September,1,-999,HL,1,# fish,-999,-999,6.79083093
,2011,September,1,-999,HL,1,# fish,-999,-999,3.952715201
,2010,September,1,-999,HL,1,# fish,-999,-999,0.838847998
,2007,September,1,-999,HL,1,# fish,-999,-999,0.493370054
,2007,September,1,-999,HL,1,# fish,-999,-999,2.839613277
,2007,September,1,-999,HL,1,# fish,-999,-999,1.656171795
,2007,September,1,-999,HL,1,# fish,-999,-999,0.977906541
,2008,September,1,-999,HL,1,# fish,-999,-999,2.244297351
,2008,September,1,-999,HL,1,# fish,-999,-999,2.007665672
,2008,September,1,-999,HL,1,# fish,-999,-999,1.537851273
,2008,September,1,-999,HL,1,# fish,-999,-999,2.797202783
,2012,September,1,-999,HL,1,# fish,-999,-999,4.135065324
,2012,September,1,-999,HL,1,# fish,-999,-999,2.480649404
,2012,September,1,-999,HL,1,# fish,-999,-999,9.222247829
,2012,September,1,-999,HL,1,# fish,-999,-999,2.721214376
,2008,August,1,-999,HL,1,# fish,-999,-999,0.146472459
,2008,August,1,-999,HL,1,# fish,-999,-999,0.186000369
,2008,August,1,-999,HL,1,# fish,-999,-999,0.107356933
,2008,August,1,-999,HL,1,# fish,-999,-999,0.077760497
,2012,August,1,-999,HL,1,# fish,-999,-999,0.033244068
,2012,August,1,-999,HL,1,# fish,-999,-999,0.108823796
,2010,August,1,-999,HL,1,# fish,-999,-999,0
,2011,August,1,-999,HL,1,# fish,-999,-999,0
,2010,August,1,-999,HL,1,# fish,-999,-999,0
,2011,August,1,-999,HL,1,# fish,-999,-999,0.054854634
,2010,August,1,-999,HL,1,# fish,-999,-999,0.056678633
,2011,August,1,-999,HL,1,# fish,-999,-999,0
,2009,August,1,-999,HL,1,# fish,-999,-999,0
,2009,August,1,-999,HL,1,# fish,-999,-999,0.035941052
,2009,August,1,-999,HL,1,# fish,-999,-999,0
,2010,August,1,-999,HL,1,# fish,-999,-999,0
,2011,August,1,-999,HL,1,# fish,-999,-999,0.222078277
,2009,August,1,-999,HL,1,# fish,-999,-999,0.296662495
,2008,July,1,-999,HL,1,# fish,-999,-999,0.041011629
,2008,July,1,-999,HL,1,# fish,-999,-999,0.158882525
,2012,July,1,-999,HL,1,# fish,-999,-999,0
,2012,July,1,-999,HL,1,# fish,-999,-999,0.036466406
,2011,July,1,-999,HL,1,# fish,-999,-999,0
,2010,July,1,-999,HL,1,# fish,-999,-999,0
,2011,July,1,-999,HL,1,# fish,-999,-999,0
,2010,July,1,-999,HL,1,# fish,-999,-999,0.042479379
,2008,July,1,-999,HL,1,# fish,-999,-999,0.229496702
,2008,July,1,-999,HL,1,# fish,-999,-999,0
,2009,July,1,-999,HL,1,# fish,-999,-999,0
,2009,July,1,-999,HL,1,# fish,-999,-999,0
,2012,July,1,-999,HL,1,# fish,-999,-999,0
,2012,July,1,-999,HL,1,# fish,-999,-999,0.027716186
,2009,September,1,-999,HL,1,# fish,-999,-999,0
,2008,September,1,-999,HL,1,# fish,-999,-999,0.036692759
,2008,September,1,-999,HL,1,# fish,-999,-999,0.608431116
,2008,September,1,-999,HL,1,# fish,-999,-999,0
,2009,September,1,-999,HL,1,# fish,-999,-999,0
,2008,September,1,-999,HL,1,# fish,-999,-999,0.054411897
,2012,September,1,-999,HL,1,# fish,-999,-999,0.145998724
,2012,September,1,-999,HL,1,# fish,-999,-999,0.534174169
,2011,September,1,-999,HL,1,# fish,-999,-999,0
,2010,September,1,-999,HL,1,# fish,-999,-999,0.097719871
,2011,September,1,-999,HL,1,# fish,-999,-999,0.055762082
,2010,September,1,-999,HL,1,# fish,-999,-999,0
,2009,August,1,-999,HL,1,# fish,-999,-999,0.482945686
,2011,August,1,-999,HL,1,# fish,-999,-999,0.369458133
,2008,August,1,-999,HL,1,# fish,-999,-999,0.718232055
,2009,August,1,-999,HL,1,# fish,-999,-999,0.139418142
,2010,August,1,-999,HL,1,# fish,-999,-999,0.147915323
,2010,August,1,-999,HL,1,# fish,-999,-999,0
,2008,August,1,-999,HL,1,# fish,-999,-999,0.360410318
,2007,August,1,-999,HL,1,# fish,-999,-999,0.26537517
,2007,August,1,-999,HL,1,# fish,-999,-999,0.210346376
,2008,August,1,-999,HL,1,# fish,-999,-999,0.964242674
,2007,August,1,-999,HL,1,# fish,-999,-999,0.767014095
,2008,August,1,-999,HL,1,# fish,-999,-999,1.207832604
,2012,August,1,-999,HL,1,# fish,-999,-999,0.471409876
,2007,August,1,-999,HL,1,# fish,-999,-999,0.449812538
,2012,August,1,-999,HL,1,# fish,-999,-999,0.180185593
,2011,August,1,-999,HL,1,# fish,-999,-999,0.028954734
,2010,August,1,-999,HL,1,# fish,-999,-999,0.056264066
,2011,August,1,-999,HL,1,# fish,-999,-999,0.831260449
,2010,August,1,-999,HL,1,# fish,-999,-999,0
,2012,August,1,-999,HL,1,# fish,-999,-999,0.721131615
,2011,August,1,-999,HL,1,# fish,-999,-999,0.085429521
,2012,August,1,-999,HL,1,# fish,-999,-999,0.242604607
,2010,July,1,-999,HL,1,# fish,-999,-999,0.027324893
,2010,July,1,-999,HL,1,# fish,-999,-999,0.190742624
,2008,July,1,-999,HL,1,# fish,-999,-999,0.585401556
,2009,July,1,-999,HL,1,# fish,-999,-999,0.220770785
,2008,July,1,-999,HL,1,# fish,-999,-999,0.30413433
,2009,July,1,-999,HL,1,# fish,-999,-999,0.38503842
,2012,July,1,-999,HL,1,# fish,-999,-999,0.814995922
,2012,July,1,-999,HL,1,# fish,-999,-999,0.581959225
,2010,July,1,-999,HL,1,# fish,-999,-999,0
,2010,July,1,-999,HL,1,# fish,-999,-999,0
,2011,July,1,-999,HL,1,# fish,-999,-999,0.722456348
,2008,July,1,-999,HL,1,# fish,-999,-999,0.657174151
,2011,July,1,-999,HL,1,# fish,-999,-999,0.10970927
,2008,July,1,-999,HL,1,# fish,-999,-999,0.571939219
,2007,October,1,-999,HL,1,# fish,-999,-999,0.332358419
,2007,October,1,-999,HL,1,# fish,-999,-999,0.382476231
,2007,October,1,-999,HL,1,# fish,-999,-999,0.682234244
,2007,October,1,-999,HL,1,# fish,-999,-999,0.556896892
,2008,September,1,-999,HL,1,# fish,-999,-999,0.933125971
,2009,September,1,-999,HL,1,# fish,-999,-999,0.108127594
,2012,September,1,-999,HL,1,# fish,-999,-999,1.260597113
,2008,September,1,-999,HL,1,# fish,-999,-999,0.856590204
,2012,September,1,-999,HL,1,# fish,-999,-999,1.465100231
,2011,September,1,-999,HL,1,# fish,-999,-999,0.774621909
,2011,September,1,-999,HL,1,# fish,-999,-999,0.357863825
,2009,September,1,-999,HL,1,# fish,-999,-999,1.075054745
,2009,September,1,-999,HL,1,# fish,-999,-999,0.287301282
,2007,September,1,-999,HL,1,# fish,-999,-999,0.306825644
,2007,September,1,-999,HL,1,# fish,-999,-999,1.163234511
,2007,September,1,-999,HL,1,# fish,-999,-999,1.947316242
,2007,September,1,-999,HL,1,# fish,-999,-999,0.352576102
