Year,Month,Length,LengthType,Sex,Special,MPA,Fishery Dependent
2008,July,30,cm,-999,-999,0,0
2008,July,29,cm,-999,-999,0,0
2008,July,34,cm,-999,-999,0,0
2008,July,30,cm,-999,-999,0,0
2008,July,30,cm,-999,-999,0,0
2008,July,25,cm,-999,-999,0,0
2008,July,29,cm,-999,-999,0,0
2008,July,33,cm,-999,-999,0,0
2008,July,29,cm,-999,-999,0,0
2008,July,31,cm,-999,-999,0,0
2008,July,32,cm,-999,-999,0,0
2008,July,27,cm,-999,-999,0,0
2008,July,28,cm,-999,-999,0,0
2008,July,35,cm,-999,-999,1,0
2008,July,34,cm,-999,-999,1,0
2008,July,33,cm,-999,-999,1,0
2008,July,30,cm,-999,-999,1,0
2008,July,29,cm,-999,-999,1,0
2008,July,33,cm,-999,-999,1,0
2008,July,32,cm,-999,-999,1,0
2008,July,33,cm,-999,-999,1,0
2008,July,34,cm,-999,-999,1,0
2008,July,32,cm,-999,-999,1,0
2008,July,29,cm,-999,-999,1,0
2008,July,30,cm,-999,-999,1,0
2008,July,37,cm,-999,-999,1,0
2008,July,29,cm,-999,-999,1,0
2008,July,35,cm,-999,-999,1,0
2008,July,32,cm,-999,-999,1,0
2008,July,37,cm,-999,-999,1,0
2008,July,31,cm,-999,-999,1,0
2008,July,32,cm,-999,-999,1,0
2008,July,38,cm,-999,-999,1,0
2008,July,39,cm,-999,-999,1,0
2008,July,32,cm,-999,-999,1,0
2008,July,35,cm,-999,-999,1,0
2008,July,35,cm,-999,-999,1,0
2008,July,33,cm,-999,-999,1,0
2008,July,36,cm,-999,-999,1,0
2008,July,32,cm,-999,-999,1,0
2008,July,30,cm,-999,-999,1,0
2008,July,37,cm,-999,-999,1,0
2008,July,32,cm,-999,-999,1,0
2008,August,31,cm,-999,-999,0,0
2008,August,34,cm,-999,-999,0,0
2008,August,26,cm,-999,-999,0,0
2008,August,29,cm,-999,-999,0,0
2008,August,30,cm,-999,-999,0,0
2008,August,34,cm,-999,-999,0,0
2008,August,29,cm,-999,-999,0,0
2008,August,36,cm,-999,-999,0,0
2008,August,32,cm,-999,-999,0,0
